Москва	 300	 3896	 6149	 15
Санкт-Петербург	 182	 973	 2078	 7
Московская область	 80	 1551	 1683	 2
Свердловская область	 40	 119	 193	 2
Нижегородская область	 17	 161	 252	 1
Воронежская область	 29	 104	 314	 0
Самарская область	 46	 127	 251	 1
Ростовская область	 36	 76	 335	 0
Пермский край	 16	 89	 217	 0
Красноярский край	 44	 85	 201	 1
Челябинская область	 38	 138	 234	 0
Иркутская область	 61	 57	 252	 1
Республика Башкортостан	 29	 64	 95	 0
Алтайский край	 34	 11	 133	 0
Краснодарский край	 52	 152	 423	 0
Новосибирская область	 45	 6	 122	 0
Саратовская область	 17	 70	 91	 0
Архангельская область	 26	 126	 104	 0
Волгоградская область	 39	 3	 115	 0
Оренбургская область	 7	 42	 73	 1
Ханты-Мансийский АО	 19	 48	 191	 0
Омская область	 38	 20	 144	 0
Ульяновская область	 7	 32	 62	 0
Хабаровский край	 7	 11	 69	 0
Ставропольский край	 25	 112	 219	 0
Тюменская область	 7	 128	 217	 0
Вологодская область	 10	 24	 62	 0
Ленинградская область	 19	 36	 417	 0
Пензенская область	 16	 12	 66	 1
Республика Крым	 31	 59	 169	 1
Республика Саха (Якутия)	 24	 4	 304	 0
Приморский край	 18	 62	 241	 0
Республика Коми	 7	 33	 34	 0
Калининградская область	 36	 28	 107	 0
Забайкальский край	 9	 15	 61	 0
Удмуртская Республика	 7	 35	 63	 0
Кемеровская область	 24	 37	 147	 2
Ярославская область	 5	 11	 57	 0
Тверская область	 5	 41	 78	 0
Брянская область	 7	 108	 139	 0
Тульская область	 13	 77	 249	 1
Липецкая область	 9	 36	 34	 0
Республика Татарстан	 46	 17	 58	 1
Кировская область	 25	 45	 42	 0
Владимирская область	 9	 8	 58	 1
Республика Карелия	 8	 52	 59	 0
Республика Бурятия	 7	 33	 91	 0
Ямало-Ненецкий автономный округ	 2	 17	 55	 0
Мурманская область	 8	 16	 21	 0
Томская область	 18	 33	 73	 3
Смоленская область	 6	 23	 47	 1
Белгородская область	 13	 19	 63	 0
Рязанская область	 10	 61	 103	 0
Курская область	 34	 70	 85	 1
Астраханская область	 55	 106	 153	 1
Тамбовская область	 8	 41	 47	 0
Орловская область	 20	 20	 73	 1
Ивановская область	 4	 6	 35	 0
Псковская область	 14	 12	 55	 0
Амурская область	 15	 11	 30	 0
Курганская область	 4	 25	 26	 0
Калужская область	 9	 1	 82	 0
Новгородская область	 9	 43	 58	 0
Республика Дагестан	 14	 7	 63	 0
Костромская область	 5	 14	 20	 1
Республика Хакасия	 5	 26	 43	 0
Севастополь	 9	 32	 71	 0
Чувашская Республика	 11	 50	 137	 0
Республика Мордовия	 3	 45	 44	 0
Сахалинская область	 8	 8	 33	 0
Кабардино-Балкарская Республика	 7	 12	 68	 1
Республика Калмыкия	 8	 11	 81	 0
Республика Адыгея	 6	 11	 19	 0
Карачаево-Черкесская Республика	 0	 0	 11	 0
Республика Марий Эл	 0	 17	 13	 0
Чеченская Республика	 4	 19	 5	 0
Республика Тыва	 3	 8	 33	 0
Республика Ингушетия	 4	 9	 5	 0
Республика Северная Осетия — Алания	 1	 12	 28	 0
Камчатский край	 1	 4	 25	 0
Республика Алтай	 4	 41	 75	 0
Магаданская область	 4	 1	 5	 0
Еврейская автономная область	 3	 7	 12	 0
Ненецкий автономный округ	 1	 0	 1	 0
Чукотский автономный округ	 0	 5	 4	 0
