Москва	 2009520	1904	 1843148	 36125
Санкт-Петербург	 835447	2166	 777534	 27519
Московская область	 629513	1351	 571493	 11648
Нижегородская область	 227959	525	 202395	 9575
Самарская область	 195801	565	 146619	 6112
Свердловская область	 193668	591	 166907	 9153
Воронежская область	 190855	407	 140860	 6650
Ростовская область	 189541	523	 166573	 9392
Красноярский край	 168128	613	 151811	 8284
Пермский край	 155465	604	 135652	 7301
Иркутская область	 151825	575	 122840	 6753
Челябинская область	 140503	573	 130616	 5783
Саратовская область	 130259	339	 116230	 4950
Омская область	 126814	489	 107160	 3077
Волгоградская область	 126551	343	 115060	 5350
Республика Крым	 125822	151	 116745	 4132
Ставропольский край	 122891	450	 95485	 5883
Хабаровский край	 121108	468	 106976	 1190
Архангельская область	 121007	285	 110950	 1491
Республика Башкортостан	 118723	456	 107779	 4216
Ульяновская область	 118303	289	 113105	 3656
Алтайский край	 115292	486	 93343	 6351
Краснодарский край	 114239	534	 90927	 9561
Оренбургская область	 106551	193	 92372	 3374
Пензенская область	 99306	308	 77288	 4537
Ленинградская область	 98499	354	 81287	 2962
Приморский край	 98090	450	 82014	 1501
Вологодская область	 97752	301	 88015	 2864
Тверская область	 96122	322	 85508	 2286
Республика Коми	 95592	211	 79097	 2536
Брянская область	 94630	220	 89283	 2739
Ханты-Мансийский АО	 94291	188	 87550	 1923
Забайкальский край	 94290	247	 82010	 1764
Новосибирская область	 91310	379	 61661	 4110
Мурманская область	 90409	164	 72697	 2711
Республика Карелия	 88227	195	 83628	 1161
Тюменская область	 87559	292	 72596	 3263
Ярославская область	 83353	262	 70067	 1770
Смоленская область	 83218	228	 66418	 2300
Липецкая область	 82143	301	 75329	 2696
Кемеровская область	 81906	351	 73744	 1671
Курская область	 80812	163	 70558	 1964
Калининградская область	 80501	189	 76908	 1205
Белгородская область	 79677	250	 68956	 1689
Астраханская область	 79309	239	 70500	 2332
Владимирская область	 78992	275	 61303	 2894
Удмуртская Республика	 78348	57	 66692	 3200
Кировская область	 76998	220	 65587	 727
Республика Саха (Якутия)	 75063	173	 70448	 1760
Республика Бурятия	 74572	207	 68790	 2349
Тульская область	 73167	227	 64488	 4149
Псковская область	 69889	162	 62887	 1206
Орловская область	 68814	204	 59810	 1436
Ивановская область	 66419	190	 56635	 2399
Республика Дагестан	 64769	144	 59487	 3125
Новгородская область	 63956	161	 57222	 737
Калужская область	 63599	196	 59623	 1163
Ямало-Ненецкий автономный округ	 61142	111	 55379	 938
Томская область	 60497	164	 45702	 661
Рязанская область	 60121	181	 54799	 2405
Тамбовская область	 59277	198	 55611	 1632
Республика Хакасия	 52880	115	 48848	 1887
Амурская область	 52245	252	 41112	 584
Севастополь	 52178	75	 48725	 1815
Курганская область	 49128	168	 42251	 968
Костромская область	 48147	112	 43031	 1075
Республика Чувашия	 45834	96	 40026	 3714
Республика Татарстан	 41864	100	 35130	 1389
Кабардино-Балкарская Республика	 41122	95	 37300	 1374
Сахалинская область	 40961	145	 39106	 503
Республика Мордовия	 39646	107	 33283	 991
Республика Калмыкия	 33856	17	 32297	 721
Карачаево-Черкесская Республика	 31652	66	 27719	 899
Республика Тыва	 31428	19	 28734	 317
Чеченская Республика	 30311	74	 28402	 902
Республика Северная Осетия — Алания	 30285	77	 27501	 904
Республика Марий Эл	 28842	86	 24477	 917
Республика Ингушетия	 27968	82	 26058	 460
Республика Адыгея	 26494	90	 21787	 708
Республика Алтай	 25042	26	 22883	 498
Камчатский край	 23489	39	 17892	 504
Магаданская область	 13480	22	 12599	 339
Еврейская автономная область	 11342	28	 10317	 393
Ненецкий автономный округ	 3448	8	 3216	 84
Чукотский автономный округ	 2937	1	 2670	 32
