Москва	 1981516	3140	 1809074	 35210
Санкт-Петербург	 813296	2045	 756331	 26823
Московская область	 610471	1833	 545033	 11040
Нижегородская область	 221508	577	 192348	 9258
Самарская область	 188924	733	 137978	 5854
Свердловская область	 186767	661	 162018	 8790
Воронежская область	 185118	641	 130873	 6222
Ростовская область	 182713	649	 156759	 9102
Красноярский край	 160766	719	 144278	 7877
Пермский край	 148363	680	 127510	 7103
Иркутская область	 145344	602	 115986	 6484
Челябинская область	 133847	623	 121489	 5465
Саратовская область	 126105	492	 109753	 4817
Республика Крым	 123604	308	 113564	 3870
Волгоградская область	 122473	400	 109374	 4974
Омская область	 120901	570	 98442	 2958
Ставропольский край	 117848	450	 89545	 5567
Архангельская область	 117611	340	 107777	 1423
Хабаровский край	 115791	510	 101844	 1121
Ульяновская область	 115003	305	 109707	 3522
Республика Башкортостан	 113238	559	 102324	 3919
Алтайский край	 109770	517	 84485	 6054
Краснодарский край	 106849	721	 82395	 9309
Оренбургская область	 104179	247	 88578	 3272
Пензенская область	 95748	349	 70986	 4407
Ленинградская область	 94552	377	 75967	 2889
Вологодская область	 94153	355	 83902	 2724
Приморский край	 93079	463	 78730	 1454
Республика Коми	 93038	266	 75632	 2421
Тверская область	 92396	363	 81452	 2203
Брянская область	 92131	234	 85302	 2514
Ханты-Мансийский АО	 92118	204	 85123	 1823
Забайкальский край	 91170	307	 78347	 1703
Мурманская область	 88596	158	 70145	 2633
Новосибирская область	 87062	389	 59127	 3961
Республика Карелия	 85960	254	 81282	 1118
Тюменская область	 84265	305	 66160	 3064
Смоленская область	 80748	205	 61106	 2221
Ярославская область	 80427	273	 64860	 1647
Курская область	 79014	145	 65881	 1888
Липецкая область	 78591	355	 71248	 2563
Калининградская область	 78465	192	 73103	 1123
Кемеровская область	 78025	356	 70913	 1619
Удмуртская Республика	 77047	190	 64832	 3130
Астраханская область	 76676	239	 67409	 2250
Белгородская область	 76496	320	 64502	 1619
Владимирская область	 75816	299	 57566	 2803
Кировская область	 74410	250	 63886	 707
Республика Саха (Якутия)	 73192	238	 67372	 1721
Республика Бурятия	 72092	236	 65913	 2259
Тульская область	 70611	237	 62131	 4018
Псковская область	 68017	177	 59644	 1148
Орловская область	 66301	253	 54128	 1362
Ивановская область	 64269	200	 54132	 2264
Республика Дагестан	 63075	153	 58248	 3048
Новгородская область	 61968	193	 52324	 694
Калужская область	 61413	199	 57768	 1100
Ямало-Ненецкий автономный округ	 59865	126	 53749	 902
Томская область	 58340	230	 42534	 646
Рязанская область	 57931	215	 51582	 2184
Тамбовская область	 56980	219	 53996	 1527
Республика Хакасия	 51450	140	 46352	 1741
Севастополь	 50825	165	 46791	 1768
Амурская область	 49392	262	 37812	 561
Курганская область	 47187	187	 37767	 925
Костромская область	 46586	165	 38667	 1025
Республика Чувашия	 44540	140	 38931	 3510
Республика Татарстан	 40418	189	 33771	 1330
Кабардино-Балкарская Республика	 40067	98	 36464	 1295
Сахалинская область	 39351	170	 37489	 468
Республика Мордовия	 38308	141	 31706	 944
Республика Калмыкия	 33675	18	 32099	 707
Республика Тыва	 31187	45	 27446	 314
Карачаево-Черкесская Республика	 30902	70	 26673	 891
Чеченская Республика	 29485	81	 27477	 870
Республика Северная Осетия — Алания	 29432	81	 25900	 835
Республика Марий Эл	 27643	121	 22621	 863
Республика Ингушетия	 27070	82	 25251	 445
Республика Адыгея	 25364	114	 21028	 690
Республика Алтай	 24715	36	 22518	 485
Камчатский край	 22946	51	 17383	 495
Магаданская область	 13154	32	 12215	 323
Еврейская автономная область	 10973	35	 9494	 363
Ненецкий автономный округ	 3348	12	 3075	 84
Чукотский автономный округ	 2907	7	 2587	 28
