Москва	 207	 1194	 1697	 16
Санкт-Петербург	 167	 531	 863	 7
Московская область	 41	 159	 230	 0
Свердловская область	 61	 413	 333	 1
Нижегородская область	 27	 192	 130	 1
Самарская область	 37	 228	 178	 1
Воронежская область	 40	 66	 88	 0
Пермский край	 46	 187	 227	 2
Ростовская область	 7	 63	 83	 0
Красноярский край	 36	 115	 99	 3
Челябинская область	 41	 118	 96	 2
Иркутская область	 21	 124	 140	 1
Краснодарский край	 15	 68	 60	 0
Республика Башкортостан	 25	 163	 153	 1
Алтайский край	 13	 119	 96	 1
Новосибирская область	 19	 117	 108	 0
Саратовская область	 13	 82	 93	 0
Архангельская область	 23	 102	 88	 1
Волгоградская область	 15	 30	 47	 0
Ханты-Мансийский АО	 16	 75	 57	 0
Тюменская область	 13	 89	 86	 0
Ставропольский край	 17	 107	 77	 0
Оренбургская область	 3	 16	 25	 0
Ленинградская область	 12	 56	 126	 0
Омская область	 41	 27	 39	 1
Удмуртская Республика	 9	 182	 135	 0
Ульяновская область	 10	 13	 39	 0
Хабаровский край	 21	 64	 61	 0
Пензенская область	 31	 17	 70	 1
Вологодская область	 17	 43	 42	 0
Республика Саха (Якутия)	 19	 62	 118	 1
Кемеровская область	 19	 75	 68	 2
Республика Крым	 4	 24	 27	 0
Приморский край	 16	 31	 51	 0
Калининградская область	 30	 11	 89	 1
Республика Коми	 16	 75	 63	 0
Республика Татарстан	 35	 83	 85	 0
Забайкальский край	 9	 64	 61	 0
Ярославская область	 5	 65	 65	 0
Тульская область	 1	 53	 43	 0
Брянская область	 1	 35	 16	 0
Тверская область	 1	 13	 22	 0
Владимирская область	 15	 9	 36	 1
Липецкая область	 6	 25	 38	 0
Кировская область	 5	 12	 27	 1
Белгородская область	 19	 59	 48	 1
Республика Карелия	 7	 27	 34	 0
Томская область	 11	 67	 47	 0
Республика Бурятия	 1	 44	 42	 0
Ямало-Ненецкий автономный округ	 2	 65	 38	 0
Курская область	 15	 33	 43	 0
Рязанская область	 8	 22	 34	 0
Смоленская область	 10	 18	 9	 0
Мурманская область	 1	 42	 24	 0
Тамбовская область	 2	 40	 41	 1
Орловская область	 16	 15	 22	 0
Астраханская область	 12	 13	 20	 1
Ивановская область	 8	 4	 27	 1
Псковская область	 2	 12	 23	 0
Амурская область	 14	 67	 54	 0
Курганская область	 5	 17	 45	 1
Калужская область	 1	 57	 33	 0
Новгородская область	 2	 19	 23	 0
Чувашская Республика	 15	 59	 181	 1
Республика Хакасия	 1	 23	 25	 0
Костромская область	 6	 26	 12	 1
Республика Дагестан	 1	 10	 11	 0
Севастополь	 4	 23	 23	 2
Республика Мордовия	 5	 20	 22	 0
Кабардино-Балкарская Республика	 2	 11	 7	 0
Сахалинская область	 2	 5	 17	 0
Республика Калмыкия	 2	 5	 25	 0
Республика Адыгея	 3	 6	 7	 0
Республика Тыва	 3	 1	 4	 0
Карачаево-Черкесская Республика	 0	 5	 7	 0
Республика Марий Эл	 9	 54	 53	 0
Чеченская Республика	 12	 1	 7	 0
Республика Северная Осетия — Алания	 13	 13	 10	 0
Камчатский край	 6	 5	 4	 0
Республика Ингушетия	 1	 1	 3	 0
Республика Алтай	 4	 5	 8	 0
Еврейская автономная область	 2	 9	 11	 0
Магаданская область	 0	 9	 6	 0
Ненецкий автономный округ	 0	 4	 2	 0
Чукотский автономный округ	 0	 2	 3	 0
