Москва	 1407	 5805	 23417	 75
Санкт-Петербург	 548	 1614	 15802	 60
Московская область	 490	 1558	 11470	 33
Нижегородская область	 254	 697	 1225	 14
Свердловская область	 148	 649	 2738	 9
Самарская область	 194	 1497	 2478	 9
Ростовская область	 205	 501	 2744	 10
Воронежская область	 167	 1002	 2101	 9
Красноярский край	 101	 601	 1423	 18
Пермский край	 214	 300	 3190	 15
Иркутская область	 126	 72	 974	 7
Челябинская область	 162	 956	 3223	 8
Саратовская область	 78	 121	 989	 10
Ставропольский край	 92	 907	 1451	 12
Омская область	 99	 252	 1007	 13
Волгоградская область	 187	 148	 1006	 9
Краснодарский край	 361	 108	 1936	 10
Архангельская область	 91	 41	 2019	 0
Хабаровский край	 120	 343	 526	 3
Республика Крым	 66	 207	 595	 6
Алтайский край	 201	 70	 1289	 24
Республика Башкортостан	 124	 491	 964	 9
Ульяновская область	 41	 149	 796	 4
Ханты-Мансийский АО	 106	 202	 3021	 4
Оренбургская область	 20	 251	 1219	 1
Ленинградская область	 85	 417	 1319	 9
Приморский край	 38	 1028	 467	 9
Тверская область	 49	 0	 822	 3
Пензенская область	 31	 68	 435	 6
Вологодская область	 25	 292	 710	 8
Республика Коми	 76	 49	 891	 0
Брянская область	 95	 107	 930	 15
Новосибирская область	 127	 331	 634	 14
Забайкальский край	 16	 111	 589	 2
Тюменская область	 60	 216	 947	 8
Республика Саха (Якутия)	 209	 1153	 2820	 4
Мурманская область	 101	 620	 777	 7
Республика Карелия	 26	 692	 702	 5
Кемеровская область	 87	 267	 756	 9
Ярославская область	 106	 85	 547	 3
Калининградская область	 111	 64	 948	 10
Липецкая область	 53	 66	 985	 8
Смоленская область	 32	 201	 637	 9
Владимирская область	 40	 372	 774	 5
Астраханская область	 71	 128	 478	 6
Кировская область	 61	 410	 974	 2
Удмуртская Республика	 101	 431	 1351	 2
Белгородская область	 37	 129	 491	 6
Курская область	 93	 168	 503	 3
Республика Бурятия	 126	 297	 1513	 4
Тульская область	 102	 270	 1444	 10
Орловская область	 51	 144	 540	 3
Псковская область	 11	 169	 249	 5
Ямало-Ненецкий автономный округ	 43	 357	 1559	 1
Республика Дагестан	 168	 169	 550	 4
Ивановская область	 44	 21	 255	 6
Новгородская область	 53	 235	 459	 0
Калужская область	 53	 209	 589	 2
Тамбовская область	 27	 90	 454	 5
Рязанская область	 4	 40	 825	 6
Томская область	 47	 364	 521	 2
Амурская область	 13	 44	 162	 3
Республика Хакасия	 64	 64	 617	 2
Севастополь	 45	 25	 442	 3
Курганская область	 32	 145	 318	 0
Костромская область	 33	 57	 391	 3
Чувашская Республика	 86	 113	 724	 4
Республика Татарстан	 235	 137	 698	 5
Сахалинская область	 23	 105	 153	 4
Кабардино-Балкарская Республика	 90	 144	 230	 3
Республика Мордовия	 9	 155	 311	 4
Республика Калмыкия	 30	 96	 490	 2
Чеченская Республика	 35	 69	 374	 5
Карачаево-Черкесская Республика	 45	 65	 228	 3
Республика Тыва	 84	 191	 407	 0
Республика Северная Осетия — Алания	 33	 48	 196	 0
Республика Марий Эл	 31	 25	 292	 0
Республика Ингушетия	 26	 74	 182	 1
Республика Адыгея	 41	 98	 247	 2
Республика Алтай	 33	 35	 142	 1
Камчатский край	 19	 65	 207	 3
Магаданская область	 20	 31	 89	 0
Еврейская автономная область	 0	 17	 19	 0
Ненецкий автономный округ	 2	 4	 91	 0
Чукотский автономный округ	 0	 11	 12	 0
