Москва	 180	 537	 760	 16
Санкт-Петербург	 159	 626	 510	 14
Московская область	 153	 497	 241	 4
Свердловская область	 70	 255	 250	 1
Нижегородская область	 100	 182	 153	 2
Самарская область	 88	 232	 140	 3
Воронежская область	 51	 426	 259	 8
Ростовская область	 49	 325	 161	 3
Пермский край	 46	 257	 167	 2
Красноярский край	 71	 225	 113	 2
Челябинская область	 72	 514	 185	 2
Иркутская область	 71	 155	 68	 1
Республика Башкортостан	 51	 154	 145	 6
Алтайский край	 57	 437	 113	 3
Краснодарский край	 107	 356	 226	 5
Новосибирская область	 52	 115	 113	 2
Саратовская область	 38	 188	 167	 1
Архангельская область	 28	 101	 94	 1
Волгоградская область	 61	 267	 231	 4
Оренбургская область	 23	 129	 73	 1
Ханты-Мансийский АО	 23	 76	 54	 1
Омская область	 55	 96	 69	 3
Ульяновская область	 18	 232	 60	 3
Хабаровский край	 26	 137	 101	 1
Ставропольский край	 33	 32	 74	 1
Тюменская область	 37	 243	 108	 0
Вологодская область	 25	 124	 105	 3
Ленинградская область	 53	 178	 100	 1
Пензенская область	 39	 131	 128	 6
Республика Крым	 49	 99	 59	 3
Республика Саха (Якутия)	 54	 203	 108	 0
Приморский край	 46	 188	 81	 2
Республика Коми	 35	 95	 53	 4
Забайкальский край	 19	 73	 34	 1
Калининградская область	 11	 64	 47	 4
Удмуртская Республика	 33	 49	 45	 1
Кемеровская область	 50	 56	 115	 1
Брянская область	 8	 132	 49	 3
Тверская область	 45	 96	 94	 0
Ярославская область	 19	 121	 117	 1
Тульская область	 17	 156	 128	 2
Кировская область	 30	 9	 54	 2
Владимирская область	 21	 107	 46	 2
Липецкая область	 39	 179	 92	 3
Республика Татарстан	 58	 226	 224	 2
Ямало-Ненецкий автономный округ	 7	 39	 22	 0
Республика Бурятия	 17	 31	 11	 1
Мурманская область	 6	 289	 16	 0
Республика Карелия	 8	 67	 59	 0
Смоленская область	 24	 85	 78	 1
Белгородская область	 43	 94	 81	 1
Томская область	 41	 89	 105	 1
Рязанская область	 24	 129	 81	 0
Курская область	 25	 199	 95	 2
Астраханская область	 18	 45	 33	 1
Тамбовская область	 22	 20	 98	 2
Орловская область	 34	 78	 74	 2
Ивановская область	 24	 105	 60	 3
Псковская область	 21	 65	 62	 1
Амурская область	 26	 91	 50	 1
Курганская область	 24	 77	 59	 0
Калужская область	 14	 48	 41	 0
Новгородская область	 17	 52	 51	 0
Республика Дагестан	 21	 25	 20	 0
Костромская область	 15	 16	 32	 1
Республика Хакасия	 6	 14	 13	 2
Севастополь	 27	 10	 11	 2
Чувашская Республика	 46	 59	 49	 3
Республика Мордовия	 26	 136	 43	 1
Сахалинская область	 6	 16	 13	 0
Кабардино-Балкарская Республика	 12	 19	 20	 0
Республика Калмыкия	 4	 36	 15	 0
Республика Адыгея	 13	 55	 16	 1
Карачаево-Черкесская Республика	 4	 21	 11	 1
Республика Марий Эл	 8	 3	 5	 3
Республика Тыва	 0	 2	 1	 0
Чеченская Республика	 2	 200	 13	 0
Республика Ингушетия	 6	 8	 4	 0
Республика Северная Осетия — Алания	 6	 9	 6	 0
Камчатский край	 4	 43	 14	 1
Республика Алтай	 5	 74	 4	 1
Магаданская область	 4	 7	 2	 0
Еврейская автономная область	 6	 34	 13	 0
Ненецкий автономный округ	 0	 0	 4	 0
Чукотский автономный округ	 0	 7	 6	 0
