Москва	 974914	1336	 66077	 893871	 14966
Санкт-Петербург	 365287	947	 59116	 295171	 11000
Московская область	 212786	502	 34516	 173674	 4596
Нижегородская область	 95787	392	 5396	 87961	 2430
Свердловская область	 77333	182	 4698	 70278	 2357
Ростовская область	 72464	285	 6531	 62838	 3095
Воронежская область	 67276	298	 4277	 61108	 1891
Красноярский край	 62251	165	 1970	 57514	 2767
Архангельская область	 56408	134	 5238	 50525	 645
Иркутская область	 55199	238	 1580	 51851	 1768
Ханты-Мансийский АО	 51233	116	 1441	 49053	 739
Челябинская область	 50427	211	 5181	 44258	 988
Саратовская область	 49109	204	 4198	 44273	 638
Волгоградская область	 49004	191	 1383	 46861	 760
Хабаровский край	 48776	83	 2737	 45756	 283
Самарская область	 47968	279	 2864	 44198	 906
Ульяновская область	 47491	109	 2726	 43981	 784
Ставропольский край	 47131	103	 3152	 42912	 1067
Мурманская область	 46593	85	 918	 44738	 937
Пермский край	 46453	203	 6219	 38525	 1709
Алтайский край	 43262	136	 3111	 38669	 1482
Омская область	 40737	97	 2237	 37297	 1203
Республика Карелия	 40609	138	 3864	 36445	 300
Приморский край	 40187	91	 5020	 34543	 624
Республика Коми	 39274	81	 407	 38116	 751
Вологодская область	 38932	171	 2772	 35367	 793
Забайкальский край	 38418	98	 1164	 36728	 526
Краснодарский край	 38117	160	 3704	 32513	 1900
Пензенская область	 37973	176	 3431	 34106	 436
Оренбургская область	 37424	80	 2424	 34402	 598
Ямало-Ненецкий автономный округ	 37035	38	 1669	 34969	 397
Кировская область	 36241	125	 4884	 31065	 292
Ленинградская область	 35722	126	 3033	 32067	 622
Республика Крым	 35600	66	 3064	 31618	 918
Новосибирская область	 35515	123	 1435	 32659	 1421
Тверская область	 33437	146	 2186	 30635	 616
Республика Бурятия	 33425	101	 1544	 31170	 711
Тульская область	 32795	126	 1189	 30365	 1241
Брянская область	 32696	103	 630	 31811	 255
Ярославская область	 32524	147	 1275	 30857	 392
Республика Саха (Якутия)	 32468	40	 1015	 30939	 514
Псковская область	 31731	72	 10589	 20974	 168
Кемеровская область	 31516	70	 310	 30650	 556
Белгородская область	 31256	105	 2232	 28542	 482
Тюменская область	 31137	85	 1579	 29274	 284
Курская область	 30454	138	 2859	 27147	 448
Ивановская область	 30393	90	 1267	 28213	 913
Томская область	 30164	51	 1820	 28036	 308
Орловская область	 30098	90	 2588	 27076	 434
Республика Дагестан	 29697	44	 951	 27407	 1339
Калужская область	 29590	120	 2090	 27245	 255
Республика Башкортостан	 28305	140	 5520	 22516	 269
Астраханская область	 28072	110	 7552	 19960	 560
Удмуртская Республика	 28038	91	 2679	 24739	 620
Калининградская область	 28007	100	 2433	 25322	 252
Владимирская область	 27166	128	 2145	 24163	 858
Новгородская область	 27014	77	 3427	 23474	 113
Смоленская область	 26051	81	 1406	 24040	 605
Тамбовская область	 26035	120	 1906	 23791	 338
Липецкая область	 24443	114	 3002	 21010	 431
Рязанская область	 24346	70	 1694	 22358	 294
Сахалинская область	 21431	39	 1225	 20173	 33
Республика Чувашия	 21289	59	 768	 19497	 1024
Республика Хакасия	 21256	8	 790	 20023	 443
Амурская область	 20925	48	 1428	 19326	 171
Кабардино-Балкарская Республика	 20848	72	 976	 19507	 365
Карачаево-Черкесская Республика	 18974	40	 1698	 17214	 62
Республика Калмыкия	 18920	44	 735	 17890	 295
Костромская область	 18318	33	 2537	 15427	 354
Республика Татарстан	 17871	52	 3129	 14414	 328
Республика Мордовия	 17737	53	 1833	 15745	 159
Курганская область	 17497	74	 1659	 15537	 301
Республика Алтай	 16153	21	 159	 15839	 155
Республика Северная Осетия — Алания	 15648	31	 1305	 14192	 151
Республика Тыва	 15639	2	 904	 14542	 193
Республика Ингушетия	 14702	15	 1577	 12952	 173
Республика Адыгея	 13761	7	 1498	 12117	 146
Камчатский край	 13447	36	 1278	 12051	 118
Севастополь	 11829	65	 633	 10710	 486
Республика Марий Эл	 11719	35	 1128	 10422	 169
Чеченская Республика	 11275	10	 472	 10692	 111
Магаданская область	 8129	4	 200	 7834	 95
Еврейская автономная область	 4317	5	 92	 4106	 119
Ненецкий автономный округ	 1018	3	 107	 908	 3
Чукотский автономный округ	 689	2	 40	 644	 5
