Москва   108     970     1024    17
Санкт-Петербург  111     864     882     12
Московская область   27  154     109     2
Свердловская область     11  183     190     0
Нижегородская область    8   115     65  0
Самарская область    15  298     252     1
Воронежская область  25  21  40  0
Пермский край    11  203     108     2
Ростовская область   2   9   5   0
Красноярский край    22  62  111     2
Челябинская область  14  84  80  0
Иркутская область    1   121     140     2
Краснодарский край   3   22  23  0
Республика Башкортостан  18  326     313     0
Алтайский край   5   83  72  0
Новосибирская область    1   107     90  1
Саратовская область  4   86  81  0
Архангельская область    5   27  38  0
Волгоградская область    8   41  22  0
Ханты-Мансийский АО  0   53  36  1
Тюменская область    7   40  45  0
Ставропольский край  1   6   8   0
Оренбургская область     0   17  23  0
Ленинградская область    4   16  36  0
Удмуртская Республика    8   186     185     0
Омская область   2   40  39  1
Ульяновская область  3   34  25  0
Хабаровский край     6   38  58  0
Пензенская область   4   80  73  1
Республика Саха (Якутия)     5   15  68  0
Вологодская область  1   38  29  0
Кемеровская область  2   66  49  1
Республика Крым  4   20  30  0
Приморский край  1   82  83  0
Калининградская область  7   63  57  0
Республика Татарстан     10  116     79  1
Республика Коми  0   22  19  2
Забайкальский край   4   13  55  0
Ярославская область  3   80  68  0
Тульская область     0   32  22  1
Брянская область     0   13  8   0
Тверская область     0   9   10  0
Владимирская область     2   38  35  0
Липецкая область     0   20  11  1
Кировская область    0   49  28  0
Белгородская область     0   17  22  0
Республика Карелия   0   33  21  0
Томская область  0   7   23  0
Республика Бурятия   0   9   22  0
Ямало-Ненецкий автономный округ  2   15  27  0
Курская область  9   20  15  0
Рязанская область    5   22  15  0
Смоленская область   0   11  0   0
Мурманская область   1   11  18  0
Тамбовская область   0   4   4   0
Орловская область    0   18  16  0
Астраханская область     5   27  3   0
Ивановская область   2   11  16  0
Амурская область     2   62  65  0
Псковская область    1   10  3   0
Курганская область   1   12  23  0
Калужская область    0   22  11  0
Новгородская область     0   1   9   0
Чувашская Республика     4   149     53  1
Республика Хакасия   8   4   11  0
Костромская область  0   10  6   0
Республика Дагестан  3   2   10  0
Севастополь  6   13  24  0
Республика Мордовия  0   10  12  0
Кабардино-Балкарская Республика  0   9   9   0
Сахалинская область  0   4   1   0
Республика Калмыкия  1   11  6   0
Республика Адыгея    0   8   3   0
Республика Тыва  3   1   5   1
Республика Марий Эл  0   49  35  0
Карачаево-Черкесская Республика  0   4   4   0
Чеченская Республика     2   5   4   0
Республика Северная Осетия — Алания  0   2   0   0
Камчатский край  0   9   2   0
Республика Ингушетия     0   1   3   0
Республика Алтай     0   0   1   0
Еврейская автономная область     0   1   6   0
Магаданская область  0   2   1   0
Ненецкий автономный округ    0   6   2   0
Чукотский автономный округ   0   3   0   0
