Москва	 1022551	1878	 64861	 941192	 16498
Санкт-Петербург	 392500	701	 35605	 344728	 12167
Московская область	 230526	610	 35864	 189259	 5403
Нижегородская область	 106601	286	 3307	 100481	 2813
Свердловская область	 82108	139	 3995	 75407	 2706
Ростовская область	 80115	243	 4727	 71867	 3521
Воронежская область	 74539	209	 2979	 69185	 2375
Красноярский край	 66414	124	 1814	 61469	 3131
Иркутская область	 61078	174	 893	 58198	 1987
Архангельская область	 59447	82	 3621	 55007	 819
Самарская область	 55136	199	 2196	 51869	 1071
Челябинская область	 54998	135	 3874	 49924	 1200
Саратовская область	 54322	154	 4523	 49001	 798
Ханты-Мансийский АО	 53956	76	 738	 52437	 781
Волгоградская область	 53281	122	 1359	 50982	 940
Пермский край	 50893	119	 3900	 45061	 1932
Ульяновская область	 50523	100	 2378	 47186	 959
Хабаровский край	 50502	51	 2077	 48085	 340
Ставропольский край	 50242	99	 1879	 47146	 1217
Мурманская область	 48849	76	 877	 46902	 1070
Алтайский край	 46835	106	 3174	 41875	 1786
Республика Карелия	 43594	89	 2332	 40882	 380
Омская область	 43482	87	 1926	 40249	 1307
Вологодская область	 42439	94	 1993	 39553	 893
Приморский край	 42198	54	 3268	 38257	 673
Краснодарский край	 42042	113	 2867	 36887	 2288
Пензенская область	 41712	102	 2786	 38407	 519
Республика Коми	 41417	67	 378	 40240	 799
Забайкальский край	 40883	55	 905	 39390	 588
Оренбургская область	 39767	83	 2575	 36469	 723
Ленинградская область	 39578	102	 1603	 37063	 912
Кировская область	 39479	93	 3341	 35817	 321
Новосибирская область	 38522	85	 1248	 35666	 1608
Ямало-Ненецкий автономный округ	 37922	23	 1052	 36463	 407
Республика Крым	 37416	68	 1377	 34982	 1057
Тверская область	 37099	102	 1359	 35015	 725
Тульская область	 35970	87	 1069	 33385	 1516
Республика Бурятия	 35838	58	 838	 34223	 777
Ярославская область	 35828	91	 1141	 34210	 477
Брянская область	 35370	93	 580	 34507	 283
Псковская область	 34102	71	 10544	 23326	 232
Белгородская область	 34021	88	 1673	 31794	 554
Курская область	 33732	95	 2655	 30517	 560
Республика Саха (Якутия)	 33487	25	 585	 32357	 545
Тюменская область	 33426	63	 1551	 31502	 373
Кемеровская область	 33106	46	 277	 32222	 607
Ивановская область	 32364	70	 541	 30792	 1031
Орловская область	 32243	62	 2170	 29574	 499
Калужская область	 32162	65	 1908	 29973	 281
Республика Башкортостан	 32034	108	 4670	 27012	 352
Томская область	 31304	25	 761	 30191	 352
Республика Дагестан	 30911	48	 928	 28586	 1397
Астраханская область	 30499	67	 1546	 28294	 659
Удмуртская Республика	 30431	85	 2632	 27048	 751
Калининградская область	 30121	43	 2030	 27757	 334
Владимирская область	 29780	69	 1923	 26861	 996
Тамбовская область	 29138	92	 2078	 26657	 403
Новгородская область	 28552	39	 2847	 25587	 118
Смоленская область	 28039	59	 574	 26717	 748
Липецкая область	 27348	88	 2947	 23884	 517
Рязанская область	 26155	55	 1589	 24208	 358
Республика Чувашия	 22662	44	 781	 20682	 1199
Кабардино-Балкарская Республика	 22649	49	 711	 21526	 412
Сахалинская область	 21976	19	 321	 21616	 39
Амурская область	 21830	21	 994	 20600	 236
Республика Хакасия	 21809	19	 253	 21053	 503
Республика Калмыкия	 19883	24	 546	 19024	 313
Карачаево-Черкесская Республика	 19628	18	 977	 18581	 70
Костромская область	 19528	45	 2375	 16767	 386
Республика Татарстан	 19310	38	 2787	 16111	 412
Курганская область	 19099	43	 1383	 17369	 347
Республика Мордовия	 18940	36	 1817	 16924	 199
Республика Алтай	 16639	8	 202	 16250	 187
Республика Северная Осетия — Алания	 16290	17	 831	 15298	 161
Республика Тыва	 15758	1	 676	 14885	 197
Республика Ингушетия	 15091	10	 1542	 13369	 180
Камчатский край	 14077	15	 759	 13123	 195
Республика Адыгея	 14070	10	 726	 13182	 162
Севастополь	 13089	41	 398	 12131	 560
Республика Марий Эл	 12479	21	 654	 11625	 200
Чеченская Республика	 11622	11	 220	 11286	 116
Магаданская область	 8250	1	 130	 8021	 99
Еврейская автономная область	 4420	4	 79	 4217	 124
Ненецкий автономный округ	 1078	0	 60	 1014	 4
Чукотский автономный округ	 728	1	 34	 689	 5
