Москва   144     631     808     12
Санкт-Петербург  65  258     464     11
Московская область   35  77  181     5
Свердловская область     14  247     270     0
Нижегородская область    3   116     82  1
Самарская область    14  268     188     2
Воронежская область  18  84  99  5
Пермский край    10  100     112     1
Ростовская область   8   9   43  0
Красноярский край    14  53  66  1
Челябинская область  19  170     97  1
Иркутская область    22  106     128     3
Краснодарский край   3   75  80  1
Республика Башкортостан  18  151     186     0
Алтайский край   9   82  94  0
Новосибирская область    4   94  86  0
Саратовская область  4   37  73  0
Архангельская область    12  25  84  0
Волгоградская область    4   38  41  0
Ханты-Мансийский АО  7   83  76  0
Тюменская область    1   61  81  0
Ставропольский край  2   47  56  0
Оренбургская область     0   36  21  0
Ленинградская область    2   51  52  1
Омская область   1   41  34  0
Ульяновская область  7   24  35  0
Удмуртская Республика    5   135     129     0
Хабаровский край     5   27  37  0
Пензенская область   10  21  50  1
Вологодская область  1   43  48  0
Республика Саха (Якутия)     7   34  48  0
Кемеровская область  5   46  70  2
Республика Крым  5   24  22  0
Приморский край  1   24  30  0
Калининградская область  6   33  40  1
Республика Коми  0   24  54  0
Республика Татарстан     24  97  96  0
Забайкальский край   5   42  44  1
Тульская область     0   20  23  0
Ярославская область  2   94  62  0
Брянская область     1   20  16  1
Тверская область     0   40  22  0
Владимирская область     5   7   23  0
Липецкая область     6   20  24  0
Кировская область    0   79  27  0
Белгородская область     2   49  42  0
Республика Карелия   2   42  35  0
Томская область  10  22  53  0
Республика Бурятия   9   16  32  0
Ямало-Ненецкий автономный округ  1   18  18  0
Курская область  8   29  21  0
Рязанская область    5   27  36  0
Смоленская область   6   21  18  2
Мурманская область   3   11  32  0
Тамбовская область   2   0   18  0
Орловская область    1   10  32  0
Астраханская область     14  15  11  0
Ивановская область   4   29  30  0
Псковская область    0   28  9   1
Амурская область     6   18  33  0
Курганская область   0   31  42  1
Калужская область    3   11  29  0
Новгородская область     5   12  15  0
Чувашская Республика     5   53  63  1
Республика Хакасия   7   39  19  0
Костромская область  3   17  18  0
Республика Дагестан  2   5   5   1
Севастополь  2   31  42  0
Республика Мордовия  0   15  15  0
Кабардино-Балкарская Республика  0   12  9   1
Сахалинская область  0   26  26  0
Республика Калмыкия  0   11  3   0
Республика Адыгея    0   6   7   1
Республика Тыва  1   1   2   0
Карачаево-Черкесская Республика  0   0   2   0
Республика Марий Эл  0   21  49  0
Чеченская Республика     1   3   15  0
Республика Северная Осетия — Алания  11  6   6   0
Камчатский край  0   5   7   0
Республика Ингушетия     0   0   1   0
Республика Алтай     0   2   5   0
Еврейская автономная область     0   1   3   0
Магаданская область  0   6   11  1
Ненецкий автономный округ    0   0   0   0
Чукотский автономный округ   0   0   1   0
