Москва	 1201273	3266	 102831	 1077914	 20528
Санкт-Петербург	 445581	854	 18250	 412711	 14620
Московская область	 276584	787	 42948	 227420	 6216
Нижегородская область	 119200	158	 2135	 113339	 3726
Ростовская область	 95309	156	 4553	 86243	 4513
Свердловская область	 89993	107	 2588	 83895	 3510
Воронежская область	 85946	141	 1558	 81346	 3042
Красноярский край	 74170	96	 2153	 68230	 3787
Иркутская область	 70652	116	 607	 67544	 2501
Самарская область	 65271	65	 941	 62298	 2032
Архангельская область	 64266	70	 1624	 61645	 997
Саратовская область	 63499	107	 1956	 60407	 1136
Челябинская область	 62429	86	 2484	 58263	 1682
Волгоградская область	 60419	88	 1417	 57634	 1368
Пермский край	 58138	95	 3180	 52468	 2490
Ханты-Мансийский АО	 57877	59	 597	 56480	 800
Ульяновская область	 56521	82	 1137	 53944	 1440
Ставропольский край	 55248	50	 1384	 52318	 1546
Хабаровский край	 52894	51	 1616	 50854	 424
Алтайский край	 52034	57	 2841	 46847	 2346
Мурманская область	 51681	51	 2015	 48437	 1229
Краснодарский край	 49103	96	 2003	 43993	 3107
Омская область	 47960	65	 934	 45582	 1444
Пензенская область	 47779	70	 2045	 44887	 847
Республика Карелия	 47665	57	 1153	 45947	 565
Вологодская область	 46415	43	 2063	 43241	 1111
Ленинградская область	 45875	88	 1367	 42993	 1515
Оренбургская область	 44737	68	 2466	 41262	 1009
Приморский край	 44718	50	 2298	 41684	 736
Республика Коми	 44388	34	 400	 43020	 968
Кировская область	 44321	62	 2101	 41848	 372
Республика Крым	 44212	108	 1830	 40996	 1386
Новосибирская область	 43908	73	 2284	 39711	 1913
Забайкальский край	 43560	63	 1073	 41807	 680
Тверская область	 42676	77	 1589	 40001	 1086
Ярославская область	 41609	78	 1409	 39572	 628
Брянская область	 40841	83	 566	 39908	 367
Тульская область	 40506	55	 443	 37989	 2074
Ямало-Ненецкий автономный округ	 39253	22	 722	 38111	 420
Белгородская область	 39213	62	 1721	 36787	 705
Республика Саха (Якутия)	 39176	100	 3575	 34905	 696
Республика Бурятия	 39153	107	 707	 37529	 917
Курская область	 38880	61	 763	 37277	 840
Республика Башкортостан	 38834	91	 1507	 36795	 532
Псковская область	 38060	39	 4875	 32766	 419
Кемеровская область	 37373	65	 534	 36102	 737
Тюменская область	 37148	50	 929	 35621	 598
Ивановская область	 36688	56	 739	 34720	 1229
Калужская область	 36023	49	 1236	 34442	 345
Орловская область	 35978	45	 1115	 34185	 678
Астраханская область	 34555	37	 708	 33053	 794
Удмуртская Республика	 34402	40	 2127	 31297	 978
Республика Дагестан	 33973	53	 1036	 31443	 1494
Калининградская область	 33951	68	 626	 32818	 507
Владимирская область	 33884	50	 1141	 31532	 1211
Тамбовская область	 33254	65	 1224	 31477	 553
Томская область	 33067	30	 773	 31851	 443
Липецкая область	 32056	55	 2213	 29057	 786
Смоленская область	 31598	80	 786	 29767	 1045
Новгородская область	 31225	32	 631	 30417	 177
Рязанская область	 29615	48	 960	 28109	 546
Республика Чувашия	 26106	46	 774	 23881	 1451
Кабардино-Балкарская Республика	 24422	13	 245	 23704	 473
Республика Хакасия	 23347	32	 476	 22315	 556
Сахалинская область	 23206	40	 478	 22675	 53
Амурская область	 22857	19	 332	 22232	 293
Костромская область	 21758	34	 2252	 19018	 488
Республика Татарстан	 21696	30	 2506	 18685	 505
Курганская область	 21597	30	 560	 20615	 422
Республика Мордовия	 21163	28	 2079	 18793	 291
Республика Калмыкия	 20933	16	 272	 20277	 384
Карачаево-Черкесская Республика	 20534	11	 197	 20188	 149
Республика Алтай	 17200	12	 243	 16710	 247
Республика Северная Осетия — Алания	 17061	7	 434	 16409	 218
Республика Тыва	 15995	5	 77	 15715	 203
Республика Ингушетия	 15852	10	 235	 15427	 190
Севастополь	 15111	24	 624	 13793	 694
Камчатский край	 14758	10	 439	 14081	 238
Республика Адыгея	 14730	7	 311	 14210	 209
Республика Марий Эл	 13663	20	 221	 13184	 258
Чеченская Республика	 12369	13	 130	 12101	 138
Магаданская область	 8496	3	 97	 8288	 111
Еврейская автономная область	 4510	2	 42	 4324	 144
Ненецкий автономный округ	 1112	0	 8	 1100	 4
Чукотский автономный округ	 773	0	 28	 738	 7
