Москва   159     533     697     11
Санкт-Петербург  26  387     451     9
Московская область   24  13  83  7
Свердловская область     7   169     266     0
Нижегородская область    8   92  89  1
Самарская область    11  267     191     1
Воронежская область  14  151     96  7
Пермский край    6   143     107     1
Ростовская область   2   3   6   0
Красноярский край    11  51  65  2
Челябинская область  13  89  95  2
Иркутская область    6   98  129     3
Краснодарский край   6   35  30  1
Республика Башкортостан  25  171     183     0
Алтайский край   6   91  91  0
Новосибирская область    1   78  82  0
Саратовская область  0   191     71  0
Архангельская область    6   17  81  0
Волгоградская область    1   43  39  0
Ханты-Мансийский АО  5   56  51  0
Тюменская область    2   69  91  0
Ставропольский край  1   12  10  0
Оренбургская область     0   38  20  0
Ленинградская область    3   62  37  0
Омская область   0   21  32  0
Ульяновская область  5   22  33  1
Удмуртская Республика    2   115     125     0
Хабаровский край     1   37  42  0
Пензенская область   8   65  52  0
Вологодская область  1   34  43  0
Республика Саха (Якутия)     2   16  43  0
Кемеровская область  6   66  65  1
Республика Крым  0   24  27  0
Приморский край  0   26  26  0
Калининградская область  2   39  37  1
Республика Коми  1   4   51  0
Республика Татарстан     10  73  95  0
Забайкальский край   3   21  38  0
Тульская область     1   12  27  0
Ярославская область  0   88  64  0
Брянская область     0   11  14  0
Тверская область     0   55  21  0
Владимирская область     6   6   21  0
Липецкая область     1   22  22  0
Кировская область    0   59  26  0
Белгородская область     0   47  41  0
Республика Карелия   0   44  40  0
Томская область  3   15  42  0
Республика Бурятия   0   11  18  0
Ямало-Ненецкий автономный округ  0   12  30  0
Курская область  6   16  19  0
Рязанская область    3   20  38  0
Смоленская область   1   18  4   1
Мурманская область   3   7   30  0
Тамбовская область   1   5   2   0
Орловская область    3   11  30  0
Астраханская область     12  5   13  0
Ивановская область   7   28  29  0
Псковская область    1   7   9   0
Амурская область     3   17  31  0
Курганская область   1   7   40  1
Калужская область    6   7   13  0
Новгородская область     1   11  12  5
Чувашская Республика     1   35  51  0
Республика Хакасия   1   42  15  0
Костромская область  2   15  17  0
Республика Дагестан  0   1   5   0
Севастополь  0   10  14  0
Республика Мордовия  0   10  20  0
Кабардино-Балкарская Республика  0   9   25  0
Сахалинская область  0   6   5   0
Республика Калмыкия  1   8   1   0
Республика Адыгея    0   7   4   0
Республика Тыва  0   0   1   0
Карачаево-Черкесская Республика  0   1   4   0
Республика Марий Эл  0   34  46  0
Чеченская Республика     0   2   16  0
Республика Северная Осетия — Алания  0   2   6   0
Камчатский край  0   12  8   0
Республика Ингушетия     0   1   0   0
Республика Алтай     0   0   3   0
Еврейская автономная область     0   0   3   0
Магаданская область  0   5   12  0
Ненецкий автономный округ    0   0   0   0
Чукотский автономный округ   0   1   0   0
