Москва	48426	4130	479
Московская область	10231	311	74
Санкт-Петербург	3436	544	27
Нижегородская область	1663	109	9
Республика Дагестан	1147	76	11
Мурманская область	1056	88	4
Краснодарский край	888	132	19
Рязанская область	788	47	3
Тульская область	783	59	5
Ленинградская область	781	105	0
Ростовская область	778	89	2
Калужская область	706	30	12
Республика Татарстан	697	72	0
Брянская область	668	102	4
Республика Ингушетия	633	97	18
Республика Башкортостан	631	80	14
Владимирская область	597	11	5
Республика Коми	597	52	5
Республика Мордовия	592	36	2
Курская область	590	46	4
Красноярский край	574	64	7
Республика Северная Осетия — Алания	549	57	2
Свердловская область	539	88	1
Тверская область	507	35	1
Республика Чувашия	502	44	8
Республика Марий Эл	500	81	3
Тамбовская область	493	50	1
Ставропольский край	491	73	6
Пермский край	471	67	4
Хабаровский край	467	25	5
Орловская область	460	38	2
Ярославская область	456	26	3
Оренбургская область	456	82	2
Чеченская Республика	447	79	7
Кировская область	423	38	3
Воронежская область	420	57	8
Челябинская область	408	47	0
Новосибирская область	407	53	4
Тюменская область	404	61	3
Ямало-Ненецкий автономный округ	387	39	1
Смоленская область	369	26	3
Кабардино-Балкарская Республика	367	28	1
Ульяновская область	360	10	4
Саратовская область	359	39	2
Липецкая область	356	65	4
Приморский край	347	33	3
Ханты-Мансийский АО	338	59	2
Алтайский край	324	34	1
Пензенская область	322	58	7
Карачаево-Черкесская Республика	314	6	2
Астраханская область	306	55	4
Калининградская область	303	66	3
Белгородская область	299	31	3
Волгоградская область	297	44	8
Ивановская область	296	70	2
Самарская область	272	27	5
Новгородская область	254	18	2
Республика Бурятия	227	70	2
Удмуртская Республика	212	19	6
Республика Хакасия	206	17	7
Камчатский край	203	6	0
Архангельская область	181	29	1
Костромская область	180	12	3
Республика Калмыкия	167	24	3
Республика Саха (Якутия)	166	18	1
Вологодская область	160	41	0
Республика Адыгея	150	32	3
Псковская область	128	14	8
Еврейская автономная область	113	9	0
Кемеровская область	111	12	2
Забайкальский край	103	14	0
Иркутская область	95	33	4
Магаданская область	92	3	2
Омская область	82	21	1
Томская область	81	11	0
Республика Крым	70	29	0
Республика Карелия	62	5	0
Амурская область	41	10	0
Севастополь	37	7	0
Курганская область	33	4	0
Республика Тыва	31	8	0
Ненецкий автономный округ	29	1	0
Республика Алтай	27	0	0
Сахалинская область	22	17	0
Чукотский автономный округ	17	1	0
