Москва   205     1098    1351    12
Санкт-Петербург  107     629     472     11
Московская область   31  201     151     0
Свердловская область     57  371     260     2
Нижегородская область    24  495     70  2
Самарская область    34  288     177     3
Воронежская область  29  113     89  0
Пермский край    29  114     135     2
Ростовская область   23  5   46  0
Красноярский край    49  46  87  0
Челябинская область  25  108     99  3
Иркутская область    27  136     124     0
Краснодарский край   10  63  67  0
Республика Башкортостан  53  208     187     3
Алтайский край   13  95  93  0
Новосибирская область    17  67  95  0
Саратовская область  18  127     86  0
Архангельская область    28  104     85  0
Волгоградская область    12  38  37  0
Ханты-Мансийский АО  12  60  54  0
Тюменская область    10  93  91  1
Ставропольский край  10  63  57  0
Оренбургская область     5   29  17  0
Ленинградская область    2   52  45  0
Омская область   12  44  33  0
Удмуртская Республика    9   215     105     1
Ульяновская область  9   19  31  0
Хабаровский край     11  59  46  0
Пензенская область   30  91  51  1
Вологодская область  4   48  45  0
Республика Саха (Якутия)     12  40  52  0
Кемеровская область  9   132     69  2
Республика Крым  6   58  30  1
Приморский край  13  31  37  0
Калининградская область  6   32  36  1
Республика Коми  17  85  56  1
Республика Татарстан     28  98  87  0
Забайкальский край   6   49  27  0
Тульская область     2   9   28  0
Ярославская область  10  65  63  0
Брянская область     2   38  21  1
Тверская область     3   63  19  0
Владимирская область     12  31  28  1
Липецкая область     10  52  35  0
Кировская область    4   66  24  0
Белгородская область     16  52  44  0
Республика Карелия   11  45  35  0
Томская область  14  67  47  1
Республика Бурятия   1   21  13  0
Ямало-Ненецкий автономный округ  4   27  8   0
Курская область  14  19  27  0
Рязанская область    1   34  35  1
Смоленская область   2   16  16  1
Мурманская область   4   20  32  1
Тамбовская область   3   30  32  0
Орловская область    13  17  28  0
Астраханская область     4   2   16  0
Ивановская область   11  45  28  1
Псковская область    2   12  15  0
Амурская область     9   36  35  0
Курганская область   4   115     44  0
Калужская область    8   47  15  0
Новгородская область     3   9   16  0
Чувашская Республика     16  16  71  0
Республика Хакасия   1   27  12  0
Костромская область  4   21  12  0
Республика Дагестан  2   3   8   0
Севастополь  7   26  10  1
Республика Мордовия  4   30  18  0
Кабардино-Балкарская Республика  0   14  12  0
Сахалинская область  15  18  20  0
Республика Калмыкия  2   7   1   0
Республика Адыгея    1   8   6   0
Республика Тыва  1   4   1   0
Карачаево-Черкесская Республика  0   2   1   0
Республика Марий Эл  4   28  47  0
Чеченская Республика     4   2   2   0
Республика Северная Осетия — Алания  4   8   1   0
Камчатский край  1   8   7   0
Республика Ингушетия     0   1   1   0
Республика Алтай     0   3   7   0
Еврейская автономная область     0   4   3   0
Магаданская область  0   10  7   0
Ненецкий автономный округ    0   1   0   0
Чукотский автономный округ   0   2   0   0
