Москва	 246845	691	 53431	 188854	 4560
Московская область	 64716	161	 15398	 48196	 1122
Санкт-Петербург	 32730	155	 6575	 24009	 2146
Нижегородская область	 24771	117	 2876	 21490	 405
Свердловская область	 22083	178	 3363	 18398	 322
Ханты-Мансийский АО	 17619	127	 2341	 15139	 139
Иркутская область	 14500	119	 4009	 10285	 206
Красноярский край	 14190	128	 1738	 12094	 358
Ростовская область	 13980	129	 2379	 11340	 261
Челябинская область	 11999	87	 4318	 7586	 95
Воронежская область	 11897	97	 1741	 10063	 93
Ямало-Ненецкий автономный округ	 11800	88	 1315	 10406	 79
Мурманская область	 11252	116	 3333	 7825	 94
Саратовская область	 10157	95	 3816	 6278	 63
Новосибирская область	 10130	99	 1431	 8426	 273
Ульяновская область	 9935	100	 2751	 7111	 73
Алтайский край	 9907	98	 1718	 8100	 89
Волгоградская область	 9892	88	 3522	 6300	 70
Республика Дагестан	 9613	48	 516	 8644	 453
Архангельская область	 9235	70	 525	 8491	 219
Краснодарский край	 9173	112	 1180	 7865	 128
Ставропольский край	 9136	137	 2641	 6321	 174
Тульская область	 8570	33	 1088	 7212	 270
Хабаровский край	 8378	98	 2489	 5816	 73
Оренбургская область	 7757	101	 1537	 6166	 54
Омская область	 7636	105	 2177	 5374	 85
Приморский край	 7607	97	 1579	 5938	 90
Брянская область	 7590	25	 1314	 6241	 35
Калужская область	 7416	26	 1205	 6155	 56
Самарская область	 7174	43	 1620	 5449	 105
Республика Башкортостан	 7024	34	 1593	 5406	 25
Республика Чувашия	 7010	30	 2703	 4245	 62
Пензенская область	 6906	51	 811	 6007	 88
Ивановская область	 6623	26	 1166	 5350	 107
Рязанская область	 6518	29	 551	 5933	 34
Тюменская область	 6507	77	 776	 5703	 28
Пермский край	 6436	68	 1648	 4613	 175
Курская область	 6433	29	 1271	 5111	 51
Ярославская область	 6346	37	 574	 5741	 31
Белгородская область	 6314	45	 663	 5600	 51
Республика Тыва	 6308	24	 1288	 4960	 60
Республика Саха (Якутия)	 6229	57	 687	 5479	 63
Тамбовская область	 6210	26	 1075	 5098	 37
Ленинградская область	 6147	31	 1477	 4609	 61
Кабардино-Балкарская Республика	 6098	14	 350	 5674	 74
Орловская область	 5923	38	 1211	 4618	 94
Республика Татарстан	 5841	31	 1071	 4743	 27
Смоленская область	 5806	20	 1169	 4529	 108
Владимирская область	 5772	24	 395	 5216	 161
Республика Коми	 5678	59	 1026	 4586	 66
Кировская область	 5213	60	 596	 4539	 78
Астраханская область	 4865	34	 857	 3956	 52
Тверская область	 4818	27	 739	 3923	 156
Республика Мордовия	 4739	30	 1059	 3642	 38
Липецкая область	 4682	17	 818	 3842	 22
Республика Северная Осетия — Алания	 4618	7	 398	 4153	 67
Томская область	 4576	51	 1372	 3161	 43
Карачаево-Черкесская Республика	 4527	10	 1103	 3400	 24
Республика Бурятия	 4345	29	 664	 3639	 42
Кемеровская область	 4244	86	 1192	 3033	 19
Забайкальский край	 4178	13	 293	 3836	 49
Псковская область	 3908	19	 1048	 2803	 57
Республика Марий Эл	 3888	15	 453	 3399	 36
Новгородская область	 3886	14	 1073	 2741	 72
Республика Ингушетия	 3847	25	 548	 3225	 74
Камчатский край	 3501	18	 412	 3047	 42
Сахалинская область	 3075	65	 1506	 1569	 0
Республика Хакасия	 3002	18	 288	 2679	 35
Калининградская область	 2987	14	 539	 2403	 45
Республика Адыгея	 2955	25	 646	 2288	 21
Республика Калмыкия	 2952	55	 757	 2153	 42
Амурская область	 2929	20	 561	 2321	 47
Вологодская область	 2628	28	 511	 2091	 26
Удмуртская Республика	 2547	27	 365	 2149	 33
Республика Карелия	 2536	29	 931	 1592	 13
Костромская область	 2511	53	 637	 1847	 27
Курганская область	 2471	21	 477	 1984	 10
Чеченская Республика	 2140	8	 688	 1418	 34
Республика Алтай	 1693	21	 318	 1368	 7
Магаданская область	 1484	20	 342	 1128	 14
Республика Крым	 1410	24	 353	 1041	 16
Еврейская автономная область	 554	4	 51	 495	 8
Севастополь	 374	3	 53	 310	 11
Ненецкий автономный округ	 287	3	 197	 90	 0
Чукотский автономный округ	 160	1	 10	 149	 1
