Москва   177     865     727     10
Санкт-Петербург  94  501     458     14
Московская область   25  274     196     0
Свердловская область     43  386     274     2
Нижегородская область    22  539     132     3
Самарская область    34  256     196     1
Воронежская область  18  98  101     0
Пермский край    22  99  84  1
Ростовская область   12  66  61  1
Красноярский край    42  41  74  1
Челябинская область  15  141     99  3
Иркутская область    22  124     125     2
Краснодарский край   16  61  87  1
Республика Башкортостан  19  174     184     4
Алтайский край   11  76  92  1
Новосибирская область    19  104     88  0
Саратовская область  13  79  92  0
Архангельская область    14  59  79  0
Волгоградская область    17  44  40  0
Ханты-Мансийский АО  11  105     91  0
Тюменская область    5   138     99  0
Ставропольский край  15  76  68  0
Оренбургская область     1   24  22  0
Ленинградская область    9   134     75  0
Омская область   23  33  35  0
Ульяновская область  11  21  29  0
Удмуртская Республика    16  149     137     1
Хабаровский край     5   28  39  0
Пензенская область   21  84  48  0
Вологодская область  7   40  52  0
Республика Саха (Якутия)     10  35  50  0
Кемеровская область  15  136     83  2
Республика Крым  4   23  26  0
Приморский край  17  44  27  0
Калининградская область  6   56  47  2
Республика Коми  10  54  57  0
Республика Татарстан     19  152     99  0
Забайкальский край   9   50  58  1
Тульская область     4   81  25  0
Ярославская область  1   90  60  0
Брянская область     2   22  22  0
Тверская область     2   35  21  0
Владимирская область     6   13  27  0
Липецкая область     6   45  26  0
Кировская область    2   65  28  1
Белгородская область     7   51  40  0
Республика Карелия   5   48  58  0
Томская область  7   27  58  2
Республика Бурятия   12  43  30  0
Ямало-Ненецкий автономный округ  3   31  35  0
Курская область  11  31  23  1
Рязанская область    2   34  33  1
Смоленская область   3   25  13  1
Мурманская область   5   13  26  0
Тамбовская область   3   12  36  0
Орловская область    10  41  30  0
Астраханская область     12  7   18  1
Ивановская область   16  22  32  1
Псковская область    5   9   14  1
Амурская область     17  14  36  0
Курганская область   5   22  41  1
Калужская область    12  148     26  0
Новгородская область     2   24  18  0
Чувашская Республика     10  64  92  0
Республика Хакасия   6   12  20  0
Костромская область  5   24  25  1
Республика Дагестан  2   6   7   0
Севастополь  1   50  32  0
Республика Мордовия  6   20  19  0
Кабардино-Балкарская Республика  1   12  10  1
Сахалинская область  9   20  23  0
Республика Калмыкия  0   10  11  0
Республика Адыгея    0   6   6   0
Республика Тыва  1   0   2   0
Карачаево-Черкесская Республика  0   2   3   0
Республика Марий Эл  3   30  47  0
Чеченская Республика     3   1   9   0
Республика Северная Осетия — Алания  4   8   4   0
Камчатский край  0   8   7   0
Республика Ингушетия     1   2   2   0
Республика Алтай     1   6   3   0
Еврейская автономная область     0   6   4   0
Магаданская область  1   10  8   0
Ненецкий автономный округ    0   1   1   0
Чукотский автономный округ   0   1   3   0
