Москва   170     911     1073    11
Санкт-Петербург  99  561     465     14
Московская область   28  248     208     0
Свердловская область     36  399     284     0
Нижегородская область    29  525     94  2
Самарская область    35  216     199     2
Воронежская область  23  98  108     0
Пермский край    25  188     191     2
Ростовская область   9   71  70  2
Красноярский край    35  93  76  2
Челябинская область  24  199     97  2
Иркутская область    25  117     109     2
Краснодарский край   14  70  66  2
Республика Башкортостан  21  255     183     2
Алтайский край   15  104     87  1
Новосибирская область    9   115     96  0
Саратовская область  8   127     128     0
Архангельская область    18  69  69  0
Волгоградская область    7   32  37  0
Ханты-Мансийский АО  3   108     63  0
Тюменская область    11  144     105     0
Ставропольский край  14  61  55  0
Оренбургская область     2   21  21  0
Ленинградская область    5   69  43  0
Омская область   27  41  35  0
Ульяновская область  7   15  30  0
Удмуртская Республика    9   163     130     2
Хабаровский край     13  47  38  0
Пензенская область   31  17  53  1
Вологодская область  11  66  47  1
Республика Саха (Якутия)     7   26  45  0
Кемеровская область  23  41  73  3
Республика Крым  11  23  28  0
Приморский край  13  34  35  0
Калининградская область  8   27  44  1
Республика Коми  9   54  55  0
Республика Татарстан     29  87  103     0
Забайкальский край   17  56  34  0
Тульская область     0   85  32  1
Ярославская область  2   88  64  1
Брянская область     2   31  22  1
Тверская область     5   23  22  0
Владимирская область     8   21  22  1
Липецкая область     3   41  28  0
Кировская область    21  12  30  1
Белгородская область     15  67  41  0
Республика Карелия   9   42  34  0
Томская область  12  58  45  0
Республика Бурятия   8   45  20  0
Ямало-Ненецкий автономный округ  2   25  26  0
Курская область  12  28  26  0
Рязанская область    14  20  31  0
Смоленская область   5   24  10  1
Мурманская область   8   21  26  0
Тамбовская область   3   26  23  0
Орловская область    7   12  25  0
Астраханская область     4   14  15  0
Ивановская область   17  35  33  1
Псковская область    3   30  20  1
Амурская область     11  39  35  0
Курганская область   11  32  34  0
Калужская область    4   122     35  0
Новгородская область     0   24  14  0
Чувашская Республика     7   47  68  0
Республика Хакасия   3   12  28  0
Костромская область  2   22  24  1
Республика Дагестан  2   3   12  0
Севастополь  3   11  8   0
Республика Мордовия  2   30  25  0
Кабардино-Балкарская Республика  3   10  7   0
Сахалинская область  3   15  15  0
Республика Калмыкия  0   12  14  0
Республика Адыгея    1   7   10  0
Республика Тыва  0   0   0   0
Карачаево-Черкесская Республика  2   4   1   0
Республика Марий Эл  5   31  33  0
Чеченская Республика     2   2   5   0
Республика Северная Осетия — Алания  7   6   8   0
Камчатский край  0   9   8   0
Республика Ингушетия     1   1   1   0
Республика Алтай     0   7   3   0
Еврейская автономная область     2   5   5   0
Магаданская область  2   34  12  0
Ненецкий автономный округ    0   2   1   0
Чукотский автономный округ   0   2   2   0
