Москва	 169	 844	 378	 19
Санкт-Петербург	 109	 828	 467	 11
Московская область	 102	 508	 141	 5
Свердловская область	 90	 261	 247	 3
Нижегородская область	 80	 181	 180	 3
Самарская область	 71	 219	 139	 2
Воронежская область	 59	 516	 279	 8
Ростовская область	 51	 435	 163	 4
Пермский край	 51	 224	 170	 3
Красноярский край	 90	 236	 117	 4
Челябинская область	 56	 318	 186	 4
Иркутская область	 70	 167	 82	 4
Республика Башкортостан	 98	 122	 143	 2
Алтайский край	 62	 420	 115	 3
Краснодарский край	 96	 207	 61	 5
Новосибирская область	 56	 95	 116	 5
Саратовская область	 76	 208	 125	 3
Архангельская область	 38	 179	 87	 0
Волгоградская область	 63	 342	 232	 3
Оренбургская область	 38	 123	 79	 1
Ханты-Мансийский АО	 16	 63	 38	 0
Омская область	 56	 88	 72	 2
Ульяновская область	 29	 65	 61	 2
Хабаровский край	 76	 112	 103	 1
Ставропольский край	 52	 50	 91	 2
Тюменская область	 42	 159	 110	 2
Вологодская область	 41	 105	 101	 4
Ленинградская область	 33	 212	 101	 0
Пензенская область	 21	 233	 131	 8
Республика Крым	 20	 85	 83	 3
Республика Саха (Якутия)	 49	 95	 87	 1
Приморский край	 40	 243	 85	 2
Республика Коми	 25	 186	 49	 5
Забайкальский край	 17	 46	 37	 1
Калининградская область	 26	 63	 49	 4
Удмуртская Республика	 25	 51	 48	 3
Кемеровская область	 61	 129	 109	 2
Брянская область	 28	 80	 54	 3
Тверская область	 41	 28	 98	 0
Ярославская область	 28	 132	 113	 1
Тульская область	 47	 150	 130	 1
Кировская область	 46	 10	 55	 2
Владимирская область	 21	 114	 52	 1
Липецкая область	 23	 182	 98	 4
Республика Татарстан	 78	 230	 226	 3
Ямало-Ненецкий автономный округ	 6	 48	 23	 0
Республика Бурятия	 6	 23	 17	 0
Мурманская область	 3	 295	 20	 1
Республика Карелия	 37	 101	 80	 1
Смоленская область	 19	 94	 70	 2
Белгородская область	 50	 93	 85	 2
Томская область	 43	 73	 97	 0
Рязанская область	 19	 128	 86	 1
Курская область	 46	 173	 87	 1
Астраханская область	 16	 41	 34	 1
Тамбовская область	 46	 25	 101	 3
Орловская область	 60	 102	 72	 1
Ивановская область	 17	 106	 62	 2
Псковская область	 18	 95	 52	 2
Амурская область	 38	 84	 51	 0
Курганская область	 13	 24	 57	 1
Калужская область	 12	 44	 42	 0
Новгородская область	 25	 54	 50	 0
Республика Дагестан	 10	 31	 21	 0
Костромская область	 18	 21	 34	 0
Республика Хакасия	 6	 17	 15	 1
Севастополь	 15	 55	 26	 2
Чувашская Республика	 52	 34	 55	 2
Республика Мордовия	 16	 130	 45	 1
Сахалинская область	 9	 22	 3	 0
Кабардино-Балкарская Республика	 10	 26	 20	 1
Республика Калмыкия	 5	 37	 27	 0
Республика Адыгея	 12	 64	 12	 0
Карачаево-Черкесская Республика	 0	 29	 10	 1
Республика Марий Эл	 8	 6	 6	 0
Республика Тыва	 2	 2	 2	 0
Чеченская Республика	 3	 298	 4	 0
Республика Ингушетия	 8	 24	 5	 0
Республика Северная Осетия — Алания	 6	 7	 6	 0
Камчатский край	 15	 25	 15	 0
Республика Алтай	 9	 79	 6	 1
Магаданская область	 3	 6	 1	 0
Еврейская автономная область	 12	 28	 15	 0
Ненецкий автономный округ	 0	 5	 3	 0
Чукотский автономный округ	 2	 6	 2	 0
