Москва   244     810     1058    14
Санкт-Петербург  116     316     463     14
Московская область   31  228     247     0
Свердловская область     34  386     277     2
Нижегородская область    35  375     128     3
Самарская область    44  248     185     2
Воронежская область  27  81  93  0
Пермский край    23  132     198     1
Ростовская область   13  51  70  0
Красноярский край    38  86  84  1
Челябинская область  49  208     96  4
Иркутская область    33  129     128     1
Краснодарский край   23  83  84  1
Республика Башкортостан  53  234     184     1
Алтайский край   14  84  98  1
Новосибирская область    21  65  101     0
Саратовская область  21  71  83  0
Архангельская область    18  125     93  0
Волгоградская область    13  27  40  0
Ханты-Мансийский АО  13  43  58  0
Тюменская область    10  119     105     0
Ставропольский край  18  69  63  0
Оренбургская область     5   34  18  0
Ленинградская область    5   40  44  1
Омская область   17  40  34  0
Удмуртская Республика    5   195     109     1
Ульяновская область  11  26  33  0
Хабаровский край     12  32  43  0
Пензенская область   22  24  61  2
Вологодская область  13  72  52  0
Республика Саха (Якутия)     16  30  59  0
Кемеровская область  11  68  67  2
Республика Крым  16  34  28  1
Приморский край  15  28  33  0
Калининградская область  15  21  55  1
Республика Коми  8   89  58  0
Республика Татарстан     34  77  80  0
Забайкальский край   9   62  51  0
Тульская область     3   8   25  0
Ярославская область  3   73  60  0
Брянская область     1   22  25  0
Тверская область     13  70  17  0
Владимирская область     12  65  24  0
Липецкая область     5   24  37  1
Кировская область    6   69  23  0
Белгородская область     23  56  47  1
Республика Карелия   13  43  41  0
Томская область  9   59  39  0
Республика Бурятия   9   20  25  0
Ямало-Ненецкий автономный округ  1   11  20  0
Курская область  7   26  23  0
Рязанская область    5   52  33  1
Смоленская область   3   23  11  0
Мурманская область   3   25  40  0
Тамбовская область   4   35  18  0
Орловская область    10  19  24  0
Астраханская область     14  17  18  0
Ивановская область   5   34  26  1
Псковская область    3   6   14  0
Амурская область     16  48  33  0
Курганская область   2   105     47  0
Калужская область    8   109     30  0
Новгородская область     2   11  18  0
Чувашская Республика     8   21  78  0
Республика Хакасия   7   22  16  1
Костромская область  0   23  13  0
Республика Дагестан  6   12  4   0
Севастополь  3   27  14  0
Республика Мордовия  4   25  21  0
Кабардино-Балкарская Республика  3   11  22  0
Сахалинская область  4   17  18  0
Республика Калмыкия  0   12  9   0
Республика Адыгея    2   7   9   0
Республика Тыва  0   0   1   0
Карачаево-Черкесская Республика  0   4   3   0
Республика Марий Эл  6   17  53  0
Чеченская Республика     3   2   4   0
Республика Северная Осетия — Алания  12  2   5   0
Камчатский край  0   9   9   0
Республика Ингушетия     5   3   2   0
Республика Алтай     0   5   6   0
Еврейская автономная область     2   6   5   0
Магаданская область  2   11  9   0
Ненецкий автономный округ    1   1   2   0
Чукотский автономный округ   0   3   2   0
