Москва	 2069957	5490	 1899550	 37670
Санкт-Петербург	 870526	1839	 816693	 28811
Московская область	 655865	1556	 604953	 12640
Нижегородская область	 234531	647	 221151	 10133
Свердловская область	 203902	410	 178059	 9686
Самарская область	 202955	225	 171391	 6477
Ростовская область	 198232	391	 180098	 9853
Воронежская область	 196845	242	 168479	 7115
Красноярский край	 176557	265	 161615	 9024
Пермский край	 164517	309	 151841	 7618
Иркутская область	 160613	254	 148269	 7127
Челябинская область	 149721	232	 141524	 6355
Саратовская область	 135578	172	 125049	 5191
Омская область	 133375	215	 125343	 3310
Волгоградская область	 131785	172	 122443	 5740
Ставропольский край	 128640	352	 109157	 6260
Хабаровский край	 128434	229	 119868	 1283
Республика Крым	 127909	94	 119302	 4548
Архангельская область	 125511	154	 115530	 1549
Республика Башкортостан	 124648	198	 115538	 4546
Краснодарский край	 123690	353	 102873	 9918
Алтайский край	 123467	289	 106113	 6902
Ульяновская область	 121754	95	 115413	 3914
Оренбургская область	 109167	86	 98918	 3527
Приморский край	 105727	251	 89213	 1611
Ленинградская область	 104830	243	 94790	 3066
Пензенская область	 104132	160	 91806	 4750
Тверская область	 101251	280	 90842	 2417
Вологодская область	 101052	122	 93143	 3066
Брянская область	 98637	144	 94306	 3044
Республика Коми	 98604	91	 85211	 2690
Новосибирская область	 98154	251	 68779	 4396
Ханты-Мансийский АО	 97547	164	 92449	 2075
Забайкальский край	 97249	103	 87883	 1941
Мурманская область	 93151	122	 76265	 2831
Тюменская область	 92619	198	 83084	 3559
Республика Карелия	 91577	152	 87449	 1244
Кемеровская область	 88380	198	 80594	 1771
Ярославская область	 88155	189	 80734	 2005
Смоленская область	 86085	141	 79047	 2453
Липецкая область	 85521	123	 79343	 2907
Калининградская область	 84096	168	 80968	 1315
Владимирская область	 83514	138	 75393	 2986
Белгородская область	 83044	107	 75447	 1821
Астраханская область	 82890	136	 78639	 2520
Курская область	 82882	89	 78378	 2101
Кировская область	 81214	178	 71338	 779
Удмуртская Республика	 79772	59	 70082	 3270
Республика Бурятия	 77914	121	 73079	 2512
Тульская область	 77817	202	 68824	 4402
Республика Саха (Якутия)	 77206	147	 73762	 1821
Псковская область	 72408	86	 68734	 1334
Орловская область	 71850	147	 67354	 1568
Ивановская область	 69587	113	 62404	 2613
Республика Дагестан	 67267	158	 61526	 3264
Новгородская область	 66711	89	 63345	 805
Калужская область	 66700	136	 62537	 1255
Томская область	 63429	110	 54696	 685
Тамбовская область	 63357	168	 58328	 1804
Рязанская область	 62626	74	 58154	 2661
Ямало-Ненецкий автономный округ	 62551	64	 58491	 968
Амурская область	 56444	172	 49812	 622
Республика Хакасия	 54464	81	 51652	 2056
Севастополь	 53526	89	 50800	 1891
Курганская область	 51806	81	 49397	 1031
Костромская область	 49061	38	 47526	 1141
Республика Чувашия	 47159	54	 41043	 4115
Республика Татарстан	 43958	107	 37355	 1506
Сахалинская область	 43456	203	 41489	 577
Кабардино-Балкарская Республика	 43089	82	 39101	 1508
Республика Мордовия	 41139	58	 36674	 1075
Республика Калмыкия	 34176	15	 32674	 748
Карачаево-Черкесская Республика	 32989	55	 29351	 919
Республика Северная Осетия — Алания	 31859	68	 29359	 1014
Республика Тыва	 31701	15	 30728	 322
Чеченская Республика	 31558	60	 29747	 962
Республика Марий Эл	 29846	34	 28168	 956
Республика Ингушетия	 29527	70	 27636	 489
Республика Адыгея	 28098	60	 23385	 772
Республика Алтай	 25584	17	 23408	 533
Камчатский край	 24045	58	 19090	 515
Магаданская область	 13779	15	 13225	 356
Еврейская автономная область	 11842	20	 10939	 430
Ненецкий автономный округ	 3538	8	 3394	 88
Чукотский автономный округ	 2976	4	 2808	 39
