Москва	 1933979	3929	 1755581	 33821
Санкт-Петербург	 779037	1704	 718091	 25931
Московская область	 581202	1812	 513994	 10227
Нижегородская область	 211482	731	 182800	 8732
Свердловская область	 176415	724	 154919	 8294
Самарская область	 175951	1184	 126728	 5365
Воронежская область	 174248	765	 123463	 5627
Ростовская область	 172931	646	 147511	 8579
Красноярский край	 149800	711	 133420	 7357
Пермский край	 137998	691	 117259	 6746
Иркутская область	 136330	605	 111167	 6095
Челябинская область	 124205	642	 102838	 5018
Саратовская область	 117867	621	 101400	 4521
Республика Крым	 117462	618	 105129	 3511
Волгоградская область	 116016	451	 99731	 4430
Омская область	 112229	586	 87829	 2772
Архангельская область	 112067	411	 102626	 1343
Ставропольский край	 110888	526	 84459	 5070
Ульяновская область	 109293	472	 100736	 3322
Хабаровский край	 107758	589	 94115	 1027
Республика Башкортостан	 103697	674	 92621	 3418
Алтайский край	 101953	523	 73021	 5642
Оренбургская область	 99591	358	 83892	 3105
Краснодарский край	 96000	807	 69606	 8732
Пензенская область	 90318	383	 62419	 4137
Ленинградская область	 88943	402	 69785	 2757
Ханты-Мансийский АО	 88752	238	 81329	 1660
Республика Коми	 88747	332	 72438	 2262
Вологодская область	 88573	396	 78279	 2522
Брянская область	 88470	311	 79645	 2219
Тверская область	 86892	375	 74580	 2073
Забайкальский край	 86331	347	 72826	 1591
Приморский край	 86184	448	 74519	 1384
Мурманская область	 85656	235	 66473	 2528
Республика Карелия	 82206	268	 77732	 1065
Новосибирская область	 81151	396	 57004	 3736
Тюменская область	 79613	324	 61956	 2793
Смоленская область	 76651	476	 53793	 2108
Ярославская область	 76292	278	 61172	 1533
Курская область	 75224	333	 61959	 1767
Калининградская область	 74618	336	 66189	 999
Удмуртская Республика	 73632	305	 62334	 3024
Липецкая область	 73051	400	 65816	 2379
Астраханская область	 72988	255	 63501	 2168
Кемеровская область	 72512	378	 67126	 1561
Белгородская область	 71472	342	 61183	 1493
Владимирская область	 71194	313	 54532	 2459
Кировская область	 70589	263	 61562	 669
Республика Саха (Якутия)	 69450	260	 62095	 1674
Республика Бурятия	 68617	231	 61571	 2150
Тульская область	 66968	255	 58669	 3851
Псковская область	 65101	245	 56463	 1055
Орловская область	 62078	323	 49864	 1268
Ивановская область	 61217	212	 51620	 2094
Республика Дагестан	 60572	196	 55786	 2921
Новгородская область	 58416	314	 48517	 587
Калужская область	 58339	208	 54806	 1015
Ямало-Ненецкий автономный округ	 57920	133	 52396	 848
Томская область	 54837	253	 39525	 625
Рязанская область	 54552	241	 44916	 1891
Тамбовская область	 53821	210	 50558	 1380
Республика Хакасия	 49094	175	 41480	 1586
Севастополь	 47842	248	 42802	 1647
Амурская область	 45476	250	 35481	 519
Курганская область	 44257	199	 35114	 860
Костромская область	 43884	191	 35412	 973
Республика Чувашия	 42344	163	 37012	 3229
Кабардино-Балкарская Республика	 38483	114	 35090	 1153
Сахалинская область	 37371	102	 35991	 431
Республика Татарстан	 37057	249	 30728	 1215
Республика Мордовия	 36015	158	 29777	 866
Республика Калмыкия	 33323	25	 31718	 690
Республика Тыва	 30368	57	 26483	 294
Карачаево-Черкесская Республика	 29763	84	 25689	 848
Чеченская Республика	 28202	97	 26251	 815
Республика Северная Осетия — Алания	 28152	94	 24238	 740
Республика Ингушетия	 25819	88	 23982	 416
Республика Марий Эл	 25803	124	 21204	 746
Республика Алтай	 24194	35	 21676	 454
Республика Адыгея	 23823	91	 20144	 657
Камчатский край	 22218	49	 16836	 482
Магаданская область	 12645	38	 11664	 310
Еврейская автономная область	 10410	41	 8973	 333
Ненецкий автономный округ	 3173	14	 2910	 72
Чукотский автономный округ	 2817	9	 2442	 25
