Москва	 824979	3851	 167623	 645923	 11433
Санкт-Петербург	 253350	3738	 92069	 153356	 7925
Московская область	 160001	1539	 40731	 116322	 2948
Нижегородская область	 71303	483	 6077	 63533	 1693
Свердловская область	 59793	404	 6087	 52144	 1562
Ростовская область	 52828	391	 7561	 43156	 2111
Красноярский край	 47476	320	 3360	 42356	 1760
Воронежская область	 47369	389	 2038	 44141	 1190
Архангельская область	 44249	229	 8596	 35207	 446
Ханты-Мансийский АО	 41964	224	 3105	 38309	 550
Иркутская область	 41326	270	 3592	 36476	 1258
Ульяновская область	 37135	273	 2671	 33990	 474
Мурманская область	 36869	251	 2712	 33494	 663
Волгоградская область	 36229	262	 1365	 34390	 474
Саратовская область	 36128	267	 4819	 30883	 426
Хабаровский край	 36089	333	 4054	 31831	 204
Ставропольский край	 35813	243	 2893	 32165	 755
Челябинская область	 35607	298	 11755	 23301	 551
Алтайский край	 33542	208	 1602	 31033	 907
Ямало-Ненецкий автономный округ	 32603	162	 6793	 25472	 338
Самарская область	 32305	301	 1853	 29811	 641
Пермский край	 31599	320	 5142	 25293	 1164
Республика Коми	 31109	253	 1442	 29085	 582
Омская область	 30881	258	 1929	 28058	 894
Приморский край	 29988	230	 8086	 21516	 386
Оренбургская область	 29285	181	 3229	 25704	 352
Республика Карелия	 28613	342	 6038	 22407	 168
Новосибирская область	 28341	150	 2832	 24518	 991
Краснодарский край	 28292	184	 8312	 19003	 977
Забайкальский край	 27961	241	 1781	 25794	 386
Республика Саха (Якутия)	 26878	156	 2152	 24327	 399
Пензенская область	 26649	204	 4883	 21440	 326
Кировская область	 26342	237	 6182	 19927	 233
Республика Бурятия	 26271	180	 2041	 23629	 601
Кемеровская область	 26160	136	 2412	 23273	 475
Республика Крым	 26027	220	 5047	 20449	 531
Томская область	 24922	159	 4042	 20662	 218
Ленинградская область	 24499	220	 2218	 22010	 271
Вологодская область	 24398	320	 4229	 19726	 443
Псковская область	 24073	205	 11558	 12414	 101
Республика Дагестан	 23939	158	 2208	 20599	 1132
Тюменская область	 23834	156	 1212	 22418	 204
Брянская область	 23746	202	 1867	 21663	 216
Тульская область	 23457	200	 2084	 20598	 775
Тверская область	 22962	229	 4425	 18081	 456
Ярославская область	 22863	187	 1226	 21432	 205
Белгородская область	 22386	185	 1872	 20246	 268
Орловская область	 21890	174	 1898	 19717	 275
Ивановская область	 21821	188	 4744	 16548	 529
Калужская область	 21556	164	 1317	 20062	 177
Курская область	 21323	169	 1791	 19222	 310
Удмуртская Республика	 20293	220	 3271	 16625	 397
Республика Башкортостан	 19572	169	 4215	 15210	 147
Астраханская область	 19537	176	 6238	 12902	 397
Владимирская область	 19088	175	 1474	 17093	 521
Новгородская область	 18938	208	 4865	 13974	 99
Рязанская область	 18565	134	 1456	 16941	 168
Калининградская область	 18437	216	 1718	 16540	 179
Тамбовская область	 18131	160	 1845	 16093	 193
Республика Хакасия	 17893	98	 2683	 14936	 274
Смоленская область	 17534	158	 3300	 13892	 342
Республика Чувашия	 16703	105	 1092	 15052	 559
Липецкая область	 16519	162	 3823	 12431	 265
Амурская область	 16273	133	 1580	 14588	 105
Сахалинская область	 16173	145	 2513	 13643	 17
Кабардино-Балкарская Республика	 16126	100	 1609	 14251	 266
Карачаево-Черкесская Республика	 15390	88	 1519	 13830	 41
Костромская область	 15276	75	 3592	 11447	 237
Республика Калмыкия	 15068	86	 2312	 12556	 200
Республика Тыва	 14824	20	 1008	 13659	 157
Республика Алтай	 13978	6	 716	 13157	 105
Республика Мордовия	 13754	88	 2294	 11365	 95
Республика Татарстан	 13546	86	 2576	 10777	 193
Республика Ингушетия	 12358	56	 1894	 10322	 142
Курганская область	 12316	108	 1310	 10831	 175
Республика Северная Осетия — Алания	 12270	85	 1302	 10867	 101
Республика Адыгея	 11261	77	 1944	 9224	 93
Камчатский край	 10327	75	 1159	 9086	 82
Республика Марий Эл	 9335	51	 922	 8291	 122
Чеченская Республика	 9003	108	 4022	 4887	 94
Магаданская область	 7121	36	 464	 6592	 65
Севастополь	 7017	85	 276	 6496	 245
Еврейская автономная область	 3795	16	 695	 3028	 72
Ненецкий автономный округ	 804	1	 102	 702	 0
Чукотский автономный округ	 539	0	 55	 480	 4
