Москва	 1904523	2966	 1702667	 32973
Санкт-Петербург	 760641	2793	 686602	 25271
Московская область	 565432	1691	 495917	 9688
Нижегородская область	 204617	778	 178720	 8383
Свердловская область	 169760	732	 150506	 7987
Воронежская область	 167536	747	 121329	 5381
Ростовская область	 167097	645	 142020	 8244
Самарская область	 162206	1785	 117660	 5092
Красноярский край	 143453	710	 127145	 7070
Пермский край	 131750	696	 111166	 6447
Иркутская область	 130946	582	 108252	 5846
Челябинская область	 118636	593	 95953	 4750
Саратовская область	 112202	638	 97198	 4309
Волгоградская область	 111874	463	 96623	 4108
Республика Крым	 110370	867	 98056	 3308
Архангельская область	 108204	443	 98620	 1313
Омская область	 106919	592	 82707	 2649
Ставропольский край	 106147	517	 80913	 4727
Ульяновская область	 104910	506	 94507	 3199
Хабаровский край	 102583	548	 90807	 977
Республика Башкортостан	 97615	678	 86538	 3128
Алтайский край	 97187	535	 68256	 5381
Оренбургская область	 96220	391	 81234	 2935
Краснодарский край	 88115	719	 59842	 8184
Пензенская область	 86800	401	 59958	 3948
Ханты-Мансийский АО	 86512	255	 79467	 1553
Республика Коми	 85580	369	 71276	 2137
Ленинградская область	 85113	424	 65929	 2694
Вологодская область	 84953	404	 74880	 2395
Брянская область	 84910	489	 76013	 2090
Мурманская область	 83510	269	 63892	 2460
Тверская область	 83449	393	 70770	 1980
Забайкальский край	 83127	369	 70111	 1505
Приморский край	 82331	415	 71925	 1333
Республика Карелия	 79666	315	 75330	 1039
Новосибирская область	 77572	395	 56130	 3610
Тюменская область	 76649	342	 60266	 2611
Ярославская область	 73749	287	 60028	 1482
Курская область	 72172	351	 60311	 1707
Смоленская область	 71748	579	 50968	 2045
Калининградская область	 71281	385	 62368	 955
Астраханская область	 70653	265	 61123	 2117
Удмуртская Республика	 70352	382	 59609	 2916
Липецкая область	 69476	402	 62140	 2259
Кемеровская область	 69013	380	 64825	 1526
Белгородская область	 68368	353	 58129	 1410
Владимирская область	 68326	327	 53492	 2359
Кировская область	 68219	264	 60196	 647
Республика Саха (Якутия)	 67008	284	 57189	 1599
Республика Бурятия	 66468	237	 59211	 2085
Тульская область	 64630	267	 56399	 3738
Псковская область	 62672	285	 54141	 1001
Ивановская область	 59226	226	 50258	 2001
Орловская область	 59040	345	 48280	 1209
Республика Дагестан	 58818	187	 54212	 2852
Ямало-Ненецкий автономный округ	 56663	144	 51702	 816
Калужская область	 56467	220	 53039	 953
Новгородская область	 55464	330	 46992	 566
Томская область	 52393	275	 39115	 613
Рязанская область	 52286	264	 43895	 1717
Тамбовская область	 51930	213	 48822	 1279
Республика Хакасия	 47457	197	 38165	 1486
Севастополь	 45005	344	 37496	 1547
Амурская область	 43284	228	 34835	 507
Курганская область	 42376	215	 34133	 834
Костромская область	 42123	200	 34001	 956
Республика Чувашия	 40839	173	 35674	 3063
Кабардино-Балкарская Республика	 37384	131	 34182	 1066
Сахалинская область	 36530	88	 35307	 406
Республика Татарстан	 34728	273	 27406	 1134
Республика Мордовия	 34564	164	 28684	 816
Республика Калмыкия	 33061	36	 31428	 683
Республика Тыва	 29778	66	 25920	 289
Карачаево-Черкесская Республика	 28988	90	 25154	 837
Республика Северная Осетия — Алания	 27283	100	 23516	 726
Чеченская Республика	 27250	112	 25301	 779
Республика Ингушетия	 25056	83	 23252	 406
Республика Марий Эл	 24673	127	 20593	 722
Республика Алтай	 23803	39	 21158	 436
Республика Адыгея	 22954	92	 19540	 643
Камчатский край	 21788	47	 16575	 474
Магаданская область	 12316	35	 11334	 300
Еврейская автономная область	 10034	45	 8512	 323
Ненецкий автономный округ	 3040	15	 2754	 71
Чукотский автономный округ	 2687	19	 2287	 23
