Москва	 172	 1837	 940	 17
Санкт-Петербург	 306	 1251	 1231	 17
Московская область	 32	 157	 92	 0
Свердловская область	 73	 384	 343	 0
Нижегородская область	 17	 50	 32	 1
Самарская область	 44	 265	 252	 0
Воронежская область	 36	 98	 54	 0
Пермский край	 15	 231	 125	 3
Ростовская область	 4	 36	 13	 0
Красноярский край	 59	 49	 110	 3
Челябинская область	 39	 79	 91	 2
Иркутская область	 20	 148	 143	 0
Краснодарский край	 14	 65	 43	 0
Республика Башкортостан	 59	 359	 261	 1
Алтайский край	 9	 97	 64	 0
Новосибирская область	 19	 106	 98	 0
Саратовская область	 14	 72	 61	 0
Архангельская область	 23	 200	 58	 0
Волгоградская область	 10	 87	 37	 0
Ханты-Мансийский АО	 16	 38	 21	 0
Тюменская область	 5	 59	 37	 0
Ставропольский край	 11	 38	 32	 0
Оренбургская область	 0	 24	 13	 0
Ленинградская область	 8	 82	 26	 0
Омская область	 24	 33	 40	 1
Удмуртская Республика	 5	 165	 234	 0
Ульяновская область	 6	 33	 28	 0
Хабаровский край	 7	 62	 70	 0
Пензенская область	 14	 184	 82	 0
Республика Саха (Якутия)	 28	 112	 89	 0
Вологодская область	 8	 48	 30	 0
Кемеровская область	 10	 60	 60	 3
Республика Крым	 8	 41	 39	 0
Приморский край	 35	 45	 64	 0
Калининградская область	 18	 134	 37	 1
Республика Татарстан	 41	 134	 103	 0
Республика Коми	 18	 88	 40	 1
Забайкальский край	 4	 73	 33	 0
Ярославская область	 5	 67	 71	 0
Тульская область	 9	 34	 25	 0
Брянская область	 1	 12	 20	 0
Тверская область	 9	 33	 17	 0
Владимирская область	 12	 35	 36	 0
Липецкая область	 6	 42	 20	 1
Кировская область	 6	 51	 27	 0
Белгородская область	 22	 16	 24	 0
Республика Карелия	 13	 44	 50	 0
Томская область	 15	 45	 34	 1
Республика Бурятия	 4	 12	 16	 0
Ямало-Ненецкий автономный округ	 7	 27	 22	 0
Курская область	 17	 40	 33	 0
Рязанская область	 4	 46	 12	 1
Смоленская область	 3	 6	 4	 0
Мурманская область	 2	 9	 20	 0
Тамбовская область	 1	 3	 2	 0
Орловская область	 40	 41	 20	 0
Астраханская область	 12	 31	 17	 0
Ивановская область	 0	 42	 22	 1
Амурская область	 32	 66	 58	 0
Псковская область	 5	 14	 2	 0
Курганская область	 9	 8	 32	 0
Калужская область	 2	 26	 19	 0
Новгородская область	 1	 28	 18	 0
Чувашская Республика	 20	 99	 92	 0
Республика Хакасия	 6	 33	 17	 0
Костромская область	 0	 18	 6	 1
Республика Дагестан	 7	 5	 18	 1
Севастополь	 2	 31	 16	 1
Республика Мордовия	 6	 15	 13	 0
Кабардино-Балкарская Республика	 3	 8	 8	 0
Сахалинская область	 8	 11	 4	 0
Республика Калмыкия	 1	 5	 7	 0
Республика Адыгея	 12	 4	 1	 0
Республика Тыва	 1	 1	 2	 0
Республика Марий Эл	 8	 34	 36	 0
Карачаево-Черкесская Республика	 0	 6	 4	 0
Чеченская Республика	 5	 6	 2	 0
Республика Северная Осетия — Алания	 13	 7	 1	 0
Камчатский край	 0	 4	 2	 0
Республика Ингушетия	 0	 3	 2	 0
Республика Алтай	 0	 0	 0	 0
Еврейская автономная область	 4	 9	 7	 0
Магаданская область	 0	 6	 2	 0
Ненецкий автономный округ	 0	 0	 3	 0
Чукотский автономный округ	 0	 2	 4	 0
