Москва	 122	 255	 229	 14
Санкт-Петербург	 65	 37	 307	 9
Московская область	 0	 239	 108	 2
Свердловская область	 13	 178	 168	 1
Нижегородская область	 15	 215	 119	 2
Воронежская область	 15	 146	 116	 3
Самарская область	 19	 98	 77	 1
Ростовская область	 16	 92	 135	 1
Пермский край	 24	 91	 88	 2
Красноярский край	 17	 55	 40	 3
Челябинская область	 20	 1	 120	 2
Иркутская область	 12	 46	 51	 1
Республика Башкортостан	 21	 87	 87	 0
Алтайский край	 27	 9	 67	 1
Краснодарский край	 20	 32	 45	 2
Новосибирская область	 10	 77	 61	 1
Саратовская область	 3	 149	 140	 0
Архангельская область	 5	 10	 54	 0
Волгоградская область	 17	 150	 147	 0
Оренбургская область	 6	 52	 44	 2
Ханты-Мансийский АО	 6	 39	 30	 0
Омская область	 11	 10	 39	 2
Ульяновская область	 17	 50	 38	 1
Хабаровский край	 3	 76	 67	 0
Ставропольский край	 2	 40	 19	 1
Тюменская область	 3	 89	 8	 0
Вологодская область	 0	 55	 51	 3
Ленинградская область	 7	 61	 54	 0
Пензенская область	 13	 31	 51	 1
Республика Крым	 12	 167	 47	 1
Республика Саха (Якутия)	 8	 20	 46	 0
Приморский край	 5	 33	 30	 0
Республика Коми	 6	 4	 41	 1
Забайкальский край	 2	 4	 21	 0
Калининградская область	 2	 32	 25	 1
Удмуртская Республика	 11	 42	 32	 0
Кемеровская область	 24	 87	 80	 3
Тверская область	 1	 263	 37	 0
Брянская область	 5	 12	 20	 2
Ярославская область	 2	 67	 64	 2
Тульская область	 0	 190	 59	 1
Кировская область	 0	 185	 20	 0
Владимирская область	 4	 149	 42	 0
Липецкая область	 11	 69	 54	 2
Республика Татарстан	 24	 141	 165	 0
Ямало-Ненецкий автономный округ	 2	 12	 12	 0
Республика Бурятия	 12	 22	 21	 0
Республика Карелия	 6	 67	 65	 0
Мурманская область	 1	 5	 10	 1
Томская область	 9	 76	 41	 2
Смоленская область	 10	 32	 17	 0
Белгородская область	 4	 41	 33	 1
Рязанская область	 6	 33	 54	 0
Курская область	 3	 68	 38	 0
Астраханская область	 6	 37	 34	 0
Тамбовская область	 0	 68	 30	 1
Орловская область	 1	 35	 49	 0
Ивановская область	 3	 33	 34	 1
Псковская область	 8	 45	 35	 0
Амурская область	 3	 50	 49	 0
Курганская область	 5	 17	 22	 0
Калужская область	 6	 197	 20	 0
Новгородская область	 1	 21	 21	 1
Республика Дагестан	 3	 6	 9	 0
Костромская область	 4	 32	 18	 0
Республика Хакасия	 14	 13	 12	 0
Севастополь	 12	 12	 20	 1
Чувашская Республика	 14	 101	 45	 0
Республика Мордовия	 5	 22	 33	 0
Сахалинская область	 0	 7	 5	 0
Кабардино-Балкарская Республика	 2	 10	 9	 0
Республика Калмыкия	 1	 16	 9	 0
Республика Адыгея	 0	 16	 10	 0
Карачаево-Черкесская Республика	 0	 10	 6	 0
Республика Марий Эл	 1	 5	 4	 0
Республика Тыва	 0	 0	 5	 0
Чеченская Республика	 2	 9	 17	 0
Республика Ингушетия	 0	 7	 8	 0
Республика Северная Осетия — Алания	 2	 4	 2	 0
Камчатский край	 0	 16	 6	 0
Республика Алтай	 0	 23	 2	 0
Магаданская область	 2	 5	 2	 0
Еврейская автономная область	 0	 8	 7	 0
Ненецкий автономный округ	 0	 0	 0	 0
Чукотский автономный округ	 1	 1	 1	 0
