Москва	 249611	689	 52314	 192686	 4611
Московская область	 65324	152	 15276	 48916	 1132
Санкт-Петербург	 33365	161	 6919	 24258	 2188
Нижегородская область	 25252	124	 2879	 21955	 418
Свердловская область	 22781	167	 3705	 18725	 351
Ханты-Мансийский АО	 18111	117	 2384	 15584	 143
Иркутская область	 14986	119	 4011	 10761	 214
Красноярский край	 14691	123	 2034	 12281	 376
Ростовская область	 14488	127	 2337	 11880	 271
Челябинская область	 12349	88	 4422	 7829	 98
Воронежская область	 12278	93	 1788	 10394	 96
Ямало-Ненецкий автономный округ	 12168	88	 855	 11231	 82
Мурманская область	 11589	72	 3165	 8320	 104
Саратовская область	 10538	96	 3953	 6521	 64
Новосибирская область	 10398	64	 1331	 8770	 297
Ульяновская область	 10346	91	 2889	 7384	 73
Волгоградская область	 10281	91	 3628	 6578	 75
Алтайский край	 10273	88	 1645	 8532	 96
Республика Дагестан	 9812	49	 532	 8819	 461
Ставропольский край	 9594	95	 2829	 6582	 183
Краснодарский край	 9552	87	 1190	 8228	 134
Архангельская область	 9479	65	 726	 8533	 220
Хабаровский край	 8723	89	 2300	 6348	 75
Тульская область	 8698	34	 1050	 7364	 284
Оренбургская область	 8169	103	 1569	 6542	 58
Омская область	 8067	106	 2242	 5724	 101
Приморский край	 7981	91	 1587	 6299	 95
Брянская область	 7707	30	 1379	 6293	 35
Калужская область	 7516	25	 1211	 6247	 58
Самарская область	 7372	52	 1679	 5582	 111
Республика Башкортостан	 7162	35	 1607	 5530	 25
Республика Чувашия	 7144	36	 2506	 4573	 65
Пензенская область	 7101	53	 570	 6439	 92
Тюменская область	 6790	64	 520	 6242	 28
Ивановская область	 6756	56	 1222	 5426	 108
Пермский край	 6705	68	 1758	 4768	 179
Рязанская область	 6625	28	 631	 5960	 34
Курская область	 6548	34	 1162	 5335	 51
Белгородская область	 6509	48	 771	 5687	 51
Ярославская область	 6500	38	 639	 5829	 32
Республика Саха (Якутия)	 6469	56	 836	 5567	 66
Республика Тыва	 6396	21	 924	 5412	 60
Тамбовская область	 6311	25	 1030	 5238	 43
Ленинградская область	 6262	28	 1528	 4672	 62
Орловская область	 6170	102	 1339	 4735	 96
Кабардино-Балкарская Республика	 6158	15	 329	 5754	 75
Республика Татарстан	 5959	29	 1111	 4820	 28
Республика Коми	 5923	52	 1088	 4764	 71
Смоленская область	 5864	8	 1116	 4634	 114
Владимирская область	 5856	21	 447	 5237	 172
Кировская область	 5408	56	 754	 4572	 82
Астраханская область	 5006	41	 849	 4103	 54
Тверская область	 4931	30	 821	 3949	 161
Республика Мордовия	 4857	29	 1082	 3737	 38
Томская область	 4792	54	 1381	 3363	 48
Липецкая область	 4750	19	 764	 3963	 23
Республика Северная Осетия — Алания	 4642	7	 340	 4235	 67
Кемеровская область	 4638	94	 1361	 3258	 19
Карачаево-Черкесская Республика	 4575	13	 1016	 3534	 25
Республика Бурятия	 4475	31	 625	 3808	 42
Забайкальский край	 4242	18	 250	 3943	 49
Псковская область	 4001	19	 1089	 2854	 58
Новгородская область	 3950	17	 1070	 2808	 72
Республика Марий Эл	 3947	15	 450	 3461	 36
Республика Ингушетия	 3933	29	 523	 3335	 75
Камчатский край	 3553	15	 449	 3062	 42
Сахалинская область	 3326	59	 1606	 1720	 0
Республика Калмыкия	 3121	69	 857	 2222	 42
Республика Хакасия	 3071	19	 283	 2751	 37
Калининградская область	 3054	19	 575	 2426	 53
Республика Адыгея	 3035	19	 570	 2443	 22
Амурская область	 2997	16	 489	 2461	 47
Вологодская область	 2743	31	 394	 2320	 29
Костромская область	 2695	38	 739	 1926	 30
Удмуртская Республика	 2654	26	 413	 2207	 34
Республика Карелия	 2602	18	 908	 1681	 13
Курганская область	 2541	18	 374	 2156	 11
Чеченская Республика	 2165	7	 695	 1435	 35
Республика Алтай	 1739	8	 272	 1460	 7
Магаданская область	 1576	22	 394	 1167	 15
Республика Крым	 1557	40	 462	 1077	 18
Еврейская автономная область	 568	4	 55	 505	 8
Севастополь	 399	8	 67	 321	 11
Ненецкий автономный округ	 289	1	 193	 96	 0
Чукотский автономный округ	 162	0	 10	 151	 1
