Москва	 245468	684	 54711	 186223	 4534
Московская область	 64397	159	 15466	 47811	 1120
Санкт-Петербург	 32418	159	 6467	 23833	 2118
Нижегородская область	 24551	105	 3212	 20938	 401
Свердловская область	 21725	183	 3194	 18224	 307
Ханты-Мансийский АО	 17349	160	 2821	 14392	 136
Иркутская область	 14251	128	 4196	 9857	 198
Красноярский край	 13936	129	 1581	 12007	 348
Ростовская область	 13723	130	 2469	 11005	 249
Челябинская область	 11823	92	 4381	 7347	 95
Воронежская область	 11705	96	 1879	 9736	 90
Ямало-Ненецкий автономный округ	 11621	96	 1733	 9809	 79
Мурманская область	 11017	122	 3479	 7450	 88
Саратовская область	 9968	90	 3786	 6120	 62
Новосибирская область	 9939	93	 1411	 8266	 262
Ульяновская область	 9735	109	 2798	 6864	 73
Алтайский край	 9714	92	 1843	 7791	 80
Волгоградская область	 9711	98	 3600	 6043	 68
Республика Дагестан	 9517	42	 517	 8551	 449
Архангельская область	 9101	61	 483	 8415	 203
Краснодарский край	 8946	125	 1141	 7682	 123
Ставропольский край	 8895	116	 2644	 6082	 169
Тульская область	 8506	32	 1112	 7133	 261
Хабаровский край	 8178	120	 2500	 5609	 69
Оренбургская область	 7553	103	 1576	 5926	 51
Брянская область	 7546	24	 1321	 6190	 35
Омская область	 7424	106	 2204	 5141	 79
Приморский край	 7414	98	 1517	 5809	 88
Калужская область	 7363	25	 1196	 6111	 56
Самарская область	 7089	44	 1642	 5344	 103
Республика Башкортостан	 6955	35	 1580	 5351	 24
Республика Чувашия	 6947	32	 2772	 4113	 62
Пензенская область	 6801	52	 940	 5775	 86
Ивановская область	 6572	26	 1190	 5275	 107
Рязанская область	 6464	27	 525	 5907	 32
Курская область	 6372	27	 1336	 4985	 51
Тюменская область	 6351	80	 862	 5463	 26
Пермский край	 6296	69	 1616	 4507	 173
Ярославская область	 6268	39	 656	 5581	 31
Республика Тыва	 6258	17	 1583	 4615	 60
Белгородская область	 6220	51	 585	 5586	 49
Тамбовская область	 6157	27	 1103	 5018	 36
Республика Саха (Якутия)	 6116	58	 617	 5438	 61
Ленинградская область	 6086	31	 1453	 4577	 56
Кабардино-Балкарская Республика	 6069	14	 363	 5634	 72
Орловская область	 5848	36	 1239	 4516	 93
Республика Татарстан	 5781	30	 1083	 4671	 27
Смоленская область	 5767	15	 1234	 4427	 106
Владимирская область	 5725	20	 367	 5202	 156
Республика Коми	 5567	37	 1046	 4457	 64
Кировская область	 5095	49	 502	 4517	 76
Астраханская область	 4792	41	 884	 3858	 50
Тверская область	 4763	26	 723	 3887	 153
Республика Мордовия	 4679	32	 1035	 3606	 38
Липецкая область	 4646	15	 836	 3788	 22
Республика Северная Осетия — Алания	 4604	8	 409	 4128	 67
Карачаево-Черкесская Республика	 4507	12	 1155	 3328	 24
Томская область	 4471	60	 1397	 3032	 42
Республика Бурятия	 4287	24	 714	 3531	 42
Забайкальский край	 4153	11	 276	 3830	 47
Кемеровская область	 4062	97	 1156	 2888	 18
Псковская область	 3869	30	 1067	 2747	 55
Новгородская область	 3859	16	 1104	 2683	 72
Республика Марий Эл	 3859	15	 470	 3354	 35
Республика Ингушетия	 3792	22	 522	 3196	 74
Камчатский край	 3456	14	 388	 3026	 42
Республика Хакасия	 2965	21	 297	 2635	 33
Калининградская область	 2958	16	 524	 2389	 45
Сахалинская область	 2944	68	 1438	 1506	 0
Республика Адыгея	 2906	26	 678	 2207	 21
Амурская область	 2887	21	 641	 2199	 47
Республика Калмыкия	 2839	51	 698	 2100	 41
Вологодская область	 2571	27	 520	 2025	 26
Удмуртская Республика	 2492	29	 362	 2099	 31
Республика Карелия	 2466	48	 935	 1519	 12
Курганская область	 2426	28	 534	 1882	 10
Костромская область	 2423	33	 591	 1805	 27
Чеченская Республика	 2122	8	 689	 1400	 33
Республика Алтай	 1661	18	 357	 1297	 7
Магаданская область	 1442	21	 353	 1075	 14
Республика Крым	 1347	24	 340	 991	 16
Еврейская автономная область	 547	4	 52	 487	 8
Севастополь	 360	4	 52	 297	 11
Ненецкий автономный округ	 284	1	 194	 90	 0
Чукотский автономный округ	 157	3	 8	 148	 1
