Алтайский край	29	2	0
Амурская область	6	1	0
Архангельская область	24	5	0
Астраханская область	21	0	0
Башкортостан	65	7	0
Белгородская область	26	2	0
Брянская область	123	3	0
Владимирская область	48	1	1
Волгоградская область	33	5	0
Вологодская область	39	0	0
Воронежская область	37	10	0
Еврейская автономная область	8	0	0
Забайкальский край	8	1	0
Ивановская область	62	7	0
Иркутская область	28	0	2
Кабардино-Балкарская Республика	30	2	0
Калининградская область	65	12	1
Калужская область	24	3	0
Камчатский край	10	0	0
Карачаево-Черкесская Республика	9	0	0
Кемеровская область	12	3	0
Кировская область	35	9	0
Костромская область	15	3	1
Краснодарский край	138	25	3
Красноярский край	60	8	0
Курганская область	3	1	0
Курская область	42	3	0
Ленинградская область	134	3	0
Липецкая область	58	10	0
Магаданская область	1	1	0
Москва	8852	499	58
Московская область	1082	69	14
Мурманская область	67	6	0
Нижегородская область	152	14	2
Новгородская область	18	4	0
Новосибирская область	28	10	0
Омская область	17	3	0
Оренбургская область	25	4	1
Орловская область	29	3	0
Пензенская область	67	1	1
Пермский край	45	15	3
Приморский край	23	2	2
Псковская область	16	6	2
Республика Адыгея	20	2	0
Республика Бурятия	73	14	1
Республика Дагестан	84	4	0
Республика Ингушетия 	29	0	0
Республика Калмыкия	32	5	0
Республика Карелия	2	0	0
Республика Коми	208	1	3
Республика Крым	29	7	0
Республика Марий Эл	63	3	1
Республика Мордовия	19	4	0
Республика Саха (Якутия)	19	13	0
Республика Северная Осетия - Алания	27	1	1
Республика Тыва	9	0	0
Республика Хакасия	12	3	0
Ростовская область	38	4	0
Рязанская область	55	4	0
Самарская область	21	14	0
Санкт-Петербург	488	74	4
Саратовская область	35	2	0
Сахалинская область	11	4	0
Свердловская область	74	32	0
Севастополь	6	4	0
Смоленская область	17	1	0
Ставропольский край	66	9	2
Тамбовская область	33	6	0
Татарстан	73	11	0
Тверская область	31	3	0
Томская область	4	3	0
Тульская область	71	9	0
Тюменская область	30	4	0
Удмуртская Республика	13	3	0
Ульяновская область	62	2	0
Хабаровский край	29	7	2
Ханты-Мансийский АО	41	5	0
Челябинская область	42	11	0
Чеченская Республика	30	15	1
Чувашская республика	39	1	0
Ямало-Ненецкий АО	50	0	1
Ярославская область	13	2	0
